mid,standard_question,standard_answer
1,"A portfolio consists of two stocks, ACE and XYZ. You are given:
| | ACE | XYZ |
|----------------|------|------|
| Expected return| 0.12 | 0.10 |
| Volatility | 0.40 | 0.50 |

The correlation between the returns of the two stocks is 0.75. Unrestricted short selling is permitted.
Determine the lowest possible volatility for the portfolio. (The final answer should have 2 decimal places)",0.40
2,"In credit risk management, a bank has found there is a 4% probability that a randomly selected loan will default. Assume loans are mutually independent in this respect. 
A risk manager randomly selects 75 loans. 
Using the Poisson approximation, calculate the probability that 70 or fewer of the selected loans do not default. (The final answer should have 4 decimal places)",0.1847
3,假设某健康保险计划在2010年的每次医疗费用索赔额 \( X \) 服从参数为 \( \alpha = 3 \) 和 \( \theta = 2000 \) 的Pareto分布。保单约定每次索赔的免赔额为500元。2011年因医疗通胀影响，每次医疗费用额提高为2010年的1.1倍，且免赔额保持不变。求2011年比2010年每次索赔事件的平均赔付额提高了多少百分比。（结果保留2位小数）,0.08
4,"某类保险业务中，每份保单在观察期内发生索赔次数的数学期望为2，标准差为1.5。当有100份独立同质的保单时，使用正态近似计算索赔总次数在180至220次之间（含边界）的概率是多少？
（结果保留4位小数）",0.8176
5,"假设一个信用风险组合中有5个独立贷款，每个贷款违约概率为0.4，违约损失金额服从参数为θ=1000的指数分布。用均匀分布随机数0.21, 0.53, 0.89按以下规则模拟：第一个随机数生成违约贷款数量N，后续依次生成每个违约的损失额$X_1,X_2$,…（当N=k时仅使用前(k+1)个随机数），则总损失额为多少？（结果保留2位小数）",755.02
6,"For a portfolio of 100 corporate bonds:

(i) Annual default events for each bond follow a Poisson distribution with mean \( \Lambda \).

(ii) \( \Lambda \) varies by bond.

(iii) \( \Lambda \) is uniformly distributed on (0.04,0.16).

(iv) Loss given default for each bond follows a gamma distribution with parameters \( A \) and \( \Theta \).

(v) \( A \) and \( \Theta \) vary by bond.

(vi) \( A \) is uniformly distributed on (2,5).

(vii) \( \Theta \) follows a gamma distribution with shape parameter 27 and scale parameter \( \frac{250}{3} \).

(viii) \( \Lambda \), \( A \), and \( \Theta \) are mutually independent.

Using the normal approximation, determine the probability that aggregate losses for the portfolio are greater than 100000.
(The final answer should have 4 decimal places)",0.2358
7,在养老金精算中，一个养老金计划年初基金余额为100元，年实际利率为6%。在3个月后收到额外缴费30元，在9个月后支付养老金福利20元。利息力函数满足 $_{1-t} i_t = (1-t) i$，且无成员退出或其他减因发生。计算一年后的基金余额为多少元。（结果保留2位小数）,117.05
8,"An insurer has recorded the death ages of 10 policyholders as follows:
\[\begin{array}{llllllllll} {106} & {170} & {132} & {89} & {122} & {74} & {138} & {95} & {102} & {150} \end{array}\]
A new policyholder aged 100 is withdrawn from observation (right-censored) in an ongoing study. All lifetimes are assumed to be independent and identically distributed.

Using the Nelson-Aalen estimator, calculate the probability that this policyholder survives beyond age 125 given survival to age 100. (The final answer should have 4 decimal places)",0.6008
9,"已知以下生存概率（年概率）：
\[\begin{array}{c|c}
\text{年龄}x & {}_{5}q_{x} \\
\hline
55 & 0.1 \\
65 & 0.3 \\
\end{array}\]
\[\begin{array}{c|c}
\text{年龄}x & q_{x} \\
\hline
60 & 0.05 \\
70 & 0.08 \\
\end{array}\]
不同生命余命相互独立，求联合状态最后生存者死亡概率 \( {}_{5\mid}q_{\overline{55:65}} \)，定义为""两人均存活5年后，最后一人在第6年内死亡的概率""。（结果保留3位小数）",0.022
10,某退休金计划年初账户余额为1000元，年收益率为10%。2月底新增缴费435元，8月底发生养老金支付635元。每笔现金流产生的利息按剩余时间\( (1 - t) \)乘以年利率计算（\( t \)为现金流发生时点，以年为单位）。计算年末账户余额。（结果保留整数）,115
11,某人年初在基金中投入 1 个单位，前 2 年基金按年利率 \( 25\% \) 积累，然后按 \( \delta_t = \frac{1}{t} \) (\( 2 < t < 4 \)) 积累到第 4 年末。该积累值与该人的另外一种选择等价，即他若选择基金的收益率为每年计息 4 次的年名义利率 \( i \)，到第 4 年末，积累值与前述选择一样，则利率 \( i \) 等于多少。（结果保留4位小数）,0.2952
12,假设参考实体(x)购买完全连续信用违约互换，违约即刻赔付100100元，无违约给付相关费用。年连续保费率为2500元，年连续费用率为150元。已知 \( {}_{1}p_{x} = 0.98 \)，\( \delta = 0.05 \)，年内违约力恒定，以 \( h = 0.1 \) 为步长，求 \( _{0.8}V \)。（结果保留4位小数）,268.9221
13,有两个寿险保单的保费支付计划，每个计划的现值均为 15000 元，期限均为 5 年。第一个计划采用分离基金方法管理，其中年费用率为 6%，分离基金的年利率为 5%。第二个计划采用等额年金支付方法。假设年通货膨胀率为 3%，但解题时忽略此条件。计算当第二个计划的年利率为多少时，两个计划对投保人而言是等价的。（结果保留5位小数）,0.06552
