mid,type,standard_question,standard_answer,is_order
1,QA,河西省绿源市农机销售个体户李果（32岁，高中文化程度，性格急躁，业余爱好钓鱼和阅读农业科技杂志）。其父因心脏病住院治疗急需医疗费，李果决定出售自用的东方红牌红色联合收割机（七成新，购于2015年春，平时停放在绿源市农机市场东侧出租房内，该房为工业风格装修，墙面裸露红砖，地面堆放着二手农机零件和铁质货架）。2017年3月1日阴有小雨的上午9时许，李果在其出租房内用黑色英雄牌签字笔胁迫前来洽谈的张成（28岁，绿源市农资公司送货员）签订合同，约定货到付款，合同签订时窗外传来隔壁五金店的电钻声；4月1日多云转晴的下午3点，李果与程力在该出租房二手木桌前签订《收割机买卖合同》（共8页，见证人为市场保安赵斌，合同扫描件通过微信发送），程力当场支付20%货款；5月1日晴朗的周末上午，高进穿着深蓝色涤纶工装裤前往李果住处，在堆满农机维修手册的茶几上支付全款；6月1日闷热的傍晚，李果将擦拭一新的收割机交付给顾家，交付时收割机钥匙上挂着刻有“平安”字样的铜质钥匙扣。上述买受人均要求实际履行合同，就履行顺序产生争议。张成、程力、高进、顾家四人履行顺序是什么？,顾家、程力、高进、张成,YES
2,QA,2023年5月12日星期五下午3时许，新河县环保局环境监察大队工作人员王建国（32岁，本科学历，籍贯新河县大柳树镇，业余爱好钓鱼，性格严谨认真）在处理某公司涉嫌超标排污案件时，发现该公司厂房外排水管有异常泡沫。经受委托的市监测中心站检测确认后，该局依据加盖公章且附有12页检测数据的《环境监测技术规范》（该文件于2023年5月8日在监测中心站三楼会议室签订，见证人为办公室主任赵丽娟）出具的检测报告、现场录像与三名工人的证人证言，对该公司作出罚款30万元的处罚决定。某公司不服起诉后，该局向法院提交了以上证据。在取证过程中，王建国身着深蓝色涤纶制服，脚穿黑色牛皮公务鞋，使用索尼HDR-CX680摄像机拍摄了15分钟现场视频（存储于32GB闪迪SD卡），期间曾两次调整三脚架高度，并与同事李红霞进行讨论。该局提交的这段拍摄视频证据若要作为定案依据，应当满足哪些法定形式要求？,应该注明制作方法、制作时间、制作人员、证明对象,YES
3,QA,"槟榔公司股东甲（男，35岁，本科学历，籍贯滨江市临湖区，业余爱好钓鱼和爬山）认为公司股东会在股东乙（48岁，曾在某外资企业担任管理职务）的操纵下，于2023年9月12日（星期二）下午14时，在滨江市金鼎大厦28层会议室（内部装修为现代简约风格，墙面采用浅黄色乳胶漆，配有深褐色实木会议桌和灰色布艺座椅）违法作出公司减资协议。当日窗外下着绵绵细雨，会议室空调温度设定在24℃，甲身着藏青色棉质POLO衫和米色休闲裤，手持印有公司LOGO的黑色文件夹，在会议过程中多次举手反对未果。遂向法院提起诉讼，要求撤销该决议。一审法院驳回了甲的诉讼请求，甲不服该判决，提起上诉。2024年3月5日，甲向滨江市中院提交了3月1日签署的《民事上诉状》（共12页，在滨江市临湖路星巴克咖啡店签署，见证人为律师王芳）。庭审中甲与代理律师低声讨论：""这份减资协议会严重影响我们小股东的权益""，边说边用纸巾擦拭额头的汗水。甲在二审阶段仍心有不甘，暗想""如果这次再败诉，公司资金链可能彻底断裂""。此时另一小股东丙（女，29岁，持有公司3%股份，日常驾驶白色丰田卡罗拉轿车）携带2023年度《股东会会议记录》（蓝色硬壳封面，内页有7处荧光笔标记）加入诉讼。据此，如丙是必要共同诉讼的原告，若调解不成，二审法院该如何判决？",撤销原判，发回重审,YES
5,QA,2023年5月12日星期五下午3时许，在春江市某咖啡馆（位于解放南路128号，内部采用复古工业风装修，墙面挂有抽象艺术画作），个体户甲（32岁，高中毕业，籍贯河西省青田县，平日爱好钓鱼和收集动漫手办）与健身房销售员乙（29岁，大专学历，性格急躁，习惯穿灰色连帽卫衣搭配白色运动鞋）密谋虚构借贷纠纷。当时室外多云，气温22摄氏度，甲身着深蓝色涤纶夹克，用华为Mate40手机向乙展示其与丙的微信聊天记录，乙则手持黑色联想小新笔记本电脑记录关键信息。两人经过半小时商议，决定伪造一份《借款合同》（合同共8页，封面印有烫金楷体字，签订地点标注为该咖啡馆3号包厢），并约定次日上午9点前往法院提起诉讼。甲在起身整理文件时对乙说：“办完这事周末去露营如何？”乙边将纸质材料装入米色帆布文件袋边回应：“先把材料备齐再说。”甲内心盘算着通过诉讼能让丙偿还虚构的50万元债务，乙则想着事成后能分得3万元“佣金”。关于甲与乙恶意串通虚构借贷纠纷并借助民事诉讼侵害案外人丙合法权益的行为，法院应当如何处理？,依据案件的具体情况，驳回其诉讼请求或予以罚款、拘留,YES
6,QA,"某省某市32岁个体货运司机张三（籍贯东山县，性格急躁，业余爱好钓鱼），于2025年5月12日星期一晚8:30驾驶红色东风牌重型货车（车高4.2米，载有超高超限的塑料编织袋装化肥），途经青山镇丰收村幸福路（宽5米，两侧有白杨树，路肩堆放碎石）时，货箱顶部剐蹭到编号XL-085的水泥电线杆（高8米，属镇供电所管理），导致380伏低压电线垂落。当晚天气多云无月光，路面能见度不足20米。同日晚8:45，28岁快递员李四（某市顺风快递公司员工，喜欢听摇滚乐）驾驶未开车灯的白色长安牌轿车（车龄3年，仪表盘贴有卡通贴纸），以100km/h时速经过该路段，车载音响正播放《夜空中最亮的星》。此时50岁个体户王五（离异，习惯晨跑锻炼）身着深蓝色涤纶运动服、白色回力牌运动鞋，因手机没电无法照明，正沿幸福路东侧步行回家，手持印有""劳动光荣""字样的黑色不锈钢保温杯。张三发现事故后下车查看，边用华为手机拍摄现场边说：""这破路电线架得也太低了""，随后返回驾驶室继续播放足球赛事直播。李四因路段天黑、没有路灯，使得视线受阻，因此在距离王五10米处才紧急刹车，车辆左前轮与王五右小腿发生碰撞。经查，张三货车行驶证存放于副驾驶手套箱，李四快递单散落于副驾驶座位，王五身份证置于右侧裤袋。关于本案事故责任应如何承担？",张三、李四根据责任按份承担责任,YES
7,QA,绿叶公司系春山县工业园区注册企业，主营园林绿化工程。因在青松岭项目施工中铲除12亩原生灌木丛（主要植被为本地常见的刺槐和紫穗槐），县森林公安局以绿叶公司违法铲除植被为由，责令其恢复原状并罚款3万元，绿叶公司财务主管赵勇（男，40岁）在法定期限内缴纳罚款，但并未将植被恢复原状。后县森林公安局结案。县检察院发现这一情况后，向县森林公安局提出责令绿叶公司恢复植被的检察建议。县森林公安局对该建议置之不理。县检察院在1个月之后，委托公益机构提起公益诉讼。上述检察院错误的行为有哪些？,县检察院在1个月之后，委托公益机构提起公益诉讼,YES
8,QA,32岁的张三（某市顺风快递公司快递员，大专学历，籍贯某省南山市，爱好晨跑，性格内向）因持续腹部绞痛，于2025年6月12日星期四下午3时许，在闷热伴有间歇性小雨的天气中，穿着深蓝色涤纶工作服和黑色运动鞋，弯腰捂腹前往位于某市中山路168号的A医院就诊。该院急诊科医生李四（佩戴银框眼镜，身着白大褂内搭浅蓝色条纹衬衫）错误诊断，用黑色英雄牌钢笔在印有荷花图案的病历本上快速书写诊断结论为急性肠胃炎，开具了某国产药企生产的白色肠溶片。张三服药后当晚出现呕吐症状，其34岁的配偶王五（某市第三实验小学语文教师，性格温和）见状，次日清晨6时30分冒雨陪同张三转至位于某市人民路45号的B医院。B医院消化科诊室（墙面漆成淡绿色，配有智能叫号系统）经检查认为是某种急性疾病，但因本院专业水平限制，于6月14日上午9时通过EMS快递向C医院发出加盖公章的《专家会诊邀请函》（共3页，签署地点为B医院行政楼302室，见证人为医务科长陈东）。C医院随即指派45岁的外科主任赵六（着深灰色西装式工作服，佩戴金丝眼镜）于6月15日下午2时在3号手术室（墙面贴有蓝色防滑地胶，使用不锈钢手术器械）实施腹腔探查术。术中赵六因前夜连续处理3台急诊手术导致注意力分散手术不慎，误伤血管引发大出血。经司法鉴定，损害结果系李四开具药物与赵六操作失误共同导致，任何一项原因都不足以导致该损害后果。本案的责任应当如何分担？,A医院、C医院，承担按份责任,YES
10,QA,"2023年5月12日星期五下午2点15分，汉东省海州市晴转多云，气温28℃。A公司（法定代表人张伟，45岁，本科学历，籍贯海州市金安区，业余爱好钓鱼）将位于海州市高新区科技园的“星悦城”商业综合体建设项目（总建筑面积8万平方米，内部设计为现代工业风格，墙面采用深灰色混凝土装饰）发包给B公司。B公司项目经理李强（38岁，已婚，性格内向，日常穿深蓝色涤纶工装裤配黑色运动鞋）在办公室用华为Mate40手机向C公司发送电子版《工程转包协议》（共23页，封面为墨绿色，包含7个附件，于科技园3号楼209会议室签署，见证人为会计王丽）。C公司负责人王芳（40岁，业余喜欢养多肉植物，当日身着米色棉麻衬衫）将桩基工程分包给由121名农民工组成的“金诚施工队”，施工队成员多来自豫东县，平均年龄42岁。
施工期间，C公司拖欠工程款500万元。2024年1月8日傍晚6点，农民工代表赵大柱（穿磨损严重的褐色皮质靴）在工地活动板房内清点账目时发现欠款，与工友周建国（手持红色保温杯）商议后决定维权。C公司以B公司拖欠其工程款800万元为由拒付，B公司以A公司拖欠其1000万元工程款为由拒付。施工队委托律师孙晓峰（持黑色牛皮公文包）将A公司诉至法院，诉讼材料中包含一份《农民工工资确认单》（共6页，盖有C公司公章，于2023年12月25日在工地临时办公室交付）。
法院审理此案时，应当如何列明B公司和C公司的诉讼地位？",B公司、C公司，作为第三人,YES
12,MCQ,"某法学教授王某（45岁，中国人民大学法学博士，主要研究刑事诉讼法学领域），接受某平台的要求，为学员们提供刑事诉讼相关的直播课。王某在直播间开启了视频，将摄像头、音响等进行了调整，由直播间工作人员宣读了直播课的纪律后，直播正式开始。王某在网络直播过程中，与各听课的学员展开了积极的互动。在提到刑事诉讼的证明主体时，各学员纷纷在直播间中发表了各自的观点。
关于我国刑事诉讼的证明主体，下列选项是错误的是？
A.故意毁坏财物案中的附带民事诉讼原告人是证明主体
B.侵占案中提起反诉的被告人是证明主体
C.妨害公务案中就执行职务时目击的犯罪情况出庭作证的警察是证明主体
D.证明主体都是刑事诉讼主体",C,NO
14,QA,"2023年8月15日周二下午4时许，汉东省滨海市天气多云。25岁的平面设计师李四（籍贯滨海市临海区，本科学历，业余爱好夜跑）在中山路星巴克咖啡店门口，乘坐司机张三（32岁，已婚，驾龄5年）驾驶的白色大众朗逸出租车（车牌号滨B5T8X3，车内配有蓝色涤纶座套和黑色皮革方向盘套）。李四身着深蓝色速干运动服和白色运动鞋，将银色华为Mate40手机（屏幕右上角有轻微裂痕）遗落在后排座椅夹缝处。张三通过后视镜观察到李四下车时边整理双肩包边说""要赶着去客户公司开会""，便回应道""您慢走注意安全""，随后继续停在原地等待下一位乘客。
3分42秒后，张三转头确认李四已消失在街角，心想""这部二手手机至少能卖800块补贴油费""，遂伸手从座椅缝隙取出手机放入储物格。此时仪表台上摆放的招财猫摆件正指向东南方，车载导航显示室外温度为28℃。关于本案，司机张三的行为构成何罪？",侵占罪,NO
