"mid","subid","standard_question","standard_answer"
"65","0","一定质量的理想气体经历等温膨胀，对外做功 \( A = 500 \, \mathrm{J} \)，求气体吸收的热量 \( Q \)。 (结果以$ \mathrm{\;J}  $为单位，保留3位有效数字)","  500"
"65","1","一定质量的理想气体经历等温膨胀，对外做功 \( A = 600 \, \mathrm{J} \)，求气体吸收的热量 \( Q \)。 (结果以$ \mathrm{\;J}  $为单位，保留3位有效数字)","  600"
"65","2","一定质量的理想气体经历等温膨胀，对外做功 \( A = 700 \, \mathrm{J} \)，求气体吸收的热量 \( Q \)。 (结果以$ \mathrm{\;J}  $为单位，保留3位有效数字)","  700"
"65","3","一定质量的理想气体经历等温膨胀，对外做功 \( A = 800 \, \mathrm{J} \)，求气体吸收的热量 \( Q \)。 (结果以$ \mathrm{\;J}  $为单位，保留3位有效数字)","  800"
"34","0","作简谐运动的质点，速度最大值为 \( v_{\mathrm{m}} = 3\,\mathrm{cm/s} \)，振幅 \( A = 2\,\mathrm{cm} \)，若从经过平衡位置向正方向运动的时刻开始计时。求振动的周期。 (结果以$ \mathrm{\;s} $为单位，保留2位有效数字)","4.2"
"34","1","作简谐运动的质点，速度最大值为 \( v_{\mathrm{m}} = 3\,\mathrm{cm/s} \)，振幅 \( A = 3\,\mathrm{cm} \)，若从经过平衡位置向正方向运动的时刻开始计时。求振动的周期。 (结果以$ \mathrm{\;s} $为单位，保留2位有效数字)","6.3"
"34","2","作简谐运动的质点，速度最大值为 \( v_{\mathrm{m}} = 3\,\mathrm{cm/s} \)，振幅 \( A = 1\,\mathrm{cm} \)，若从经过平衡位置向正方向运动的时刻开始计时。求振动的周期。 (结果以$ \mathrm{\;s} $为单位，保留2位有效数字)","2.1"
"34","3","作简谐运动的质点，速度最大值为 \( v_{\mathrm{m}} = 3\,\mathrm{cm/s} \)，振幅 \( A = 4\,\mathrm{cm} \)，若从经过平衡位置向正方向运动的时刻开始计时。求振动的周期。 (结果以$ \mathrm{\;s} $为单位，保留2位有效数字)","8.4"
"10","0","在 \( 60\mathrm{\;m} \) 赛跑中，一运动员从静止开始做匀加速运动，经过 \( 10\mathrm{\;m} \) 后速度达到 \( 8\mathrm{\;m}/\mathrm{s} \)，随后因腿部不适导致速度减小，且速度大小与从起点起的距离成反比。求该运动员完成整个赛程所需的时间。 (结果以$ \mathrm{\;s}  $为单位，保留5位有效数字)"," 24.375"
"10","1","在 \( 60\mathrm{\;m} \) 赛跑中，一运动员从静止开始做匀加速运动，经过 \( 10\mathrm{\;m} \) 后速度达到 \( 4\mathrm{\;m}/\mathrm{s} \)，随后因腿部不适导致速度减小，且速度大小与从起点起的距离成反比。求该运动员完成整个赛程所需的时间。 (结果以$ \mathrm{\;s}  $为单位，保留4位有效数字)"," 46.25"
"10","2","在 \( 60\mathrm{\;m} \) 赛跑中，一运动员从静止开始做匀加速运动，经过 \( 10\mathrm{\;m} \) 后速度达到 \( 16\mathrm{\;m}/\mathrm{s} \)，随后因腿部不适导致速度减小，且速度大小与从起点起的距离成反比。求该运动员完成整个赛程所需的时间。 (结果以$ \mathrm{\;s}  $为单位，保留5位有效数字)"," 11.875"
"10","3","在 \( 60\mathrm{\;m} \) 赛跑中，一运动员从静止开始做匀加速运动，经过 \( 20\mathrm{\;m} \) 后速度达到 \( 8\mathrm{\;m}/\mathrm{s} \)，随后因腿部不适导致速度减小，且速度大小与从起点起的距离成反比。求该运动员完成整个赛程所需的时间。 (结果以$ \mathrm{\;s}  $为单位，保留5位有效数字)"," 14.688"
"1","0","考虑一个真空热电子装置，阴极和阳极为两个平行板电极，每块电极的面积为 \( 2.0 \, \text{cm}^2 \)。电流 \( I = 50 \, \text{mA} \) 仅由电子从阴极向阳极的运动产生。电子撞击阳极时的速度为 \( 1.2 \times 10^7 \, \text{m/s} \)，电子电荷大小为 \( 1.6 \times 10^{-19} \, \text{C} \)，求阳极附近每立方毫米体积内的电子数目。 (结果使用科学计数法，以$ {\mathrm{{mm}}}^{3}  $为单位，保留2位有效数字)","1.3 \times 10^{5}"
"1","1","考虑一个真空热电子装置，阴极和阳极为两个平行板电极，每块电极的面积为 \( 1.0 \, \text{cm}^2 \)。电流 \( I = 50 \, \text{mA} \) 仅由电子从阴极向阳极的运动产生。电子撞击阳极时的速度为 \( 1.2 \times 10^7 \, \text{m/s} \)，电子电荷大小为 \( 1.6 \times 10^{-19} \, \text{C} \)，求阳极附近每立方毫米体积内的电子数目。 (结果使用科学计数法，保留3位有效数字)","2.60 \times 10^{5}"
"1","2","考虑一个真空热电子装置，阴极和阳极为两个平行板电极，每块电极的面积为 \( 3.0 \, \text{cm}^2 \)。电流 \( I = 50 \, \text{mA} \) 仅由电子从阴极向阳极的运动产生。电子撞击阳极时的速度为 \( 1.2 \times 10^7 \, \text{m/s} \)，电子电荷大小为 \( 1.6 \times 10^{-19} \, \text{C} \)，求阳极附近每立方毫米体积内的电子数目。 (结果使用科学计数法，保留3位有效数字)","8.68 \times 10^{4}"
"1","3","考虑一个真空热电子装置，阴极和阳极为两个平行板电极，每块电极的面积为 \( 4.0 \, \text{cm}^2 \)。电流 \( I = 50 \, \text{mA} \) 仅由电子从阴极向阳极的运动产生。电子撞击阳极时的速度为 \( 1.2 \times 10^7 \, \text{m/s} \)，电子电荷大小为 \( 1.6 \times 10^{-19} \, \text{C} \)，求阳极附近每立方毫米体积内的电子数目。 (结果使用科学计数法，保留3位有效数字)","6.51 \times 10^{4}"
"2","0","太阳的质量为 \( 2 \times 10^{33} \) g。若太阳完全由氢原子构成，试估算其内部电子的总数目。 (结果使用科学计数法，保留2位有效数字)","1.2 \times 10^{57}"
"2","1","太阳的质量为 \( 3 \times 10^{33} \) g。若太阳完全由氢原子构成，试估算其内部电子的总数目。 (结果使用科学计数法，保留2位有效数字)","1.8 \times 10^{57}"
"2","2","太阳的质量为 \( 4 \times 10^{33} \) g。若太阳完全由氢原子构成，试估算其内部电子的总数目。 (结果使用科学计数法，保留2位有效数字)","2.4 \times 10^{57}"
"2","3","太阳的质量为 \( 5 \times 10^{33} \) g。若太阳完全由氢原子构成，试估算其内部电子的总数目。 (结果使用科学计数法，保留2位有效数字)","3.0 \times 10^{57}"
"7","0","在开阔海洋上，一次形成的洋波速度为 \( 740  \mathrm{km/h} \)，波长为 \( 300  \mathrm{km} \)。传播 \( 8000  \mathrm{km} \) 的距离需要多长时间？ (结果以$ \mathrm{\;h} $为单位，保留3位有效数字)"," 10.8"
"7","1","在开阔海洋上，一次形成的洋波速度为 \( 740  \mathrm{km/h} \)，波长为 \( 300  \mathrm{km} \)。传播 \( 9000 \mathrm{km} \) 的距离需要多长时间？ (结果保留4位有效数字)","12.16"
"7","2","在开阔海洋上，一次形成的洋波速度为 \( 740  \mathrm{km/h} \)，波长为 \( 300  \mathrm{km} \)。传播 \( 7000 \mathrm{km} \) 的距离需要多长时间？ (结果保留3位有效数字)","9.45"
"7","3","在开阔海洋上，一次形成的洋波速度为 \( 740  \mathrm{km/h} \)，波长为 \( 300  \mathrm{km} \)。传播 \( 6000  \mathrm{km} \) 的距离需要多长时间？ (结果保留3位有效数字)","8.10"
