mid,standard_question,standard_answer,R1_response
1,"一定质量的理想气体经历等温膨胀，对外做功 \( A = 500 \, \mathrm{J} \)，求气体吸收的热量 \( Q \)。 (结果保留3位有效数字)",500,"### 问题分析
该问题涉及理想气体经历等温膨胀过程。已知气体对外做功 \( A = 500 \, \mathrm{J} \)，要求计算气体吸收的热量 \( Q \)，结果保留三位有效数字。

### 关键概念
- 理想气体的内能仅与温度有关。
- 等温过程中，温度保持不变，因此内能变化 \(\Delta U = 0\)。
- 热力学第一定律：\(\Delta U = Q - W\)，其中：
  - \(Q\) 是气体吸收的热量，
  - \(W\) 是气体对外做的功。

### 给定数据
- 气体对外做功：\( W = A = 500 \, \mathrm{J} \)（因为 \(A\) 表示对外做功）。
- 等温过程：\(\Delta U = 0\).

### 应用热力学第一定律
代入热力学第一定律：
\[
\Delta U = Q - W
\]
\[
0 = Q - 500
\]
解得：
\[
Q = 500 \, \mathrm{J}
\]

### 有效数字
结果要求保留三位有效数字。\(500\) 中的数字 \(5, 0, 0\) 均为有效数字，因此 \(500\) 具有三位有效数字。

### 结论
气体吸收的热量 \(Q = 500 \, \mathrm{J}\).

### 最终答案
\[
\boxed{500}
\]

单位：\(\mathrm{J}\)（焦耳），在答案中已隐含给定单位。"
2,"一定质量的理想气体经历等温膨胀，对外做功 \( A = 600 \, \mathrm{J} \)，求气体吸收的热量 \( Q \)。 (结果保留3位有效数字)",600,"### 解答：

该问题涉及一定质量的理想气体经历等温膨胀过程，已知气体对外做功 \( A = 600 \, \mathrm{J} \)，需求气体吸收的热量 \( Q \)，结果保留三位有效数字。

#### 步骤分析：
1. **理解过程**：气体经历等温膨胀，即温度保持不变。
2. **理想气体内能**：理想气体的内能仅取决于温度。在等温过程中，温度不变，因此内能变化 \(\Delta U = 0\)。
3. **热力学第一定律**：\(\Delta U = Q - W\)，其中 \(Q\) 为系统吸收的热量，\(W\) 为系统对外做的功（标准符号中，\(W\) 表示系统对外做功）。
4. **应用定律**：代入 \(\Delta U = 0\)，得到：
   \[
   0 = Q - W \implies Q = W
   \]
5. **确定功的值**：问题中给出的 \(A = 600 \, \mathrm{J}\) 即为气体对外做的功，因此 \(W = A = 600 \, \mathrm{J}\)。
6. **计算热量**：
   \[
   Q = W = 600 \, \mathrm{J}
   \]
7. **有效数字**：结果需保留三位有效数字。\(600\) 已具有三位有效数字（可视为 \(6.00 \times 10^2\)），因此无需调整。

#### 最终答案：
气体吸收的热量 \(Q\) 为 \(600 \, \mathrm{J}\)。

\boxed{600}"
3,"一定质量的理想气体经历等温膨胀，对外做功 \( A = 700 \, \mathrm{J} \)，求气体吸收的热量 \( Q \)。 (结果保留3位有效数字)",700,"对于一定质量的理想气体经历等温膨胀过程，温度保持不变。理想气体的内能仅取决于温度，因此温度不变时，内能变化 \(\Delta U = 0\)。

根据热力学第一定律：
\[
\Delta U = Q - W
\]
其中，\(Q\) 是气体吸收的热量，\(W\) 是气体对外做的功。

代入 \(\Delta U = 0\) 和 \(W = A = 700 \, \mathrm{J}\)（题目中给出的功 \(A\) 即对外做功）：
\[
0 = Q - 700
\]

解得：
\[
Q = 700 \, \mathrm{J}
\]

结果需保留三位有效数字，700 已具有三位有效数字。

\[
\boxed{700}
\]"
4,"一定质量的理想气体经历等温膨胀，对外做功 \( A = 800 \, \mathrm{J} \)，求气体吸收的热量 \( Q \)。 (结果保留3位有效数字)",800,"该问题涉及一定质量的理想气体经历等温膨胀过程。已知气体对外做功 \( A = 800 \, \mathrm{J} \)，需求气体吸收的热量 \( Q \)。

### 步骤分析：
1. **理解过程**：气体经历等温膨胀，即温度 \( T \) 保持不变。
2. **理想气体内能**：理想气体的内能 \( U \) 仅取决于温度。由于温度不变，内能变化 \( \Delta U = 0 \)。
3. **热力学第一定律**：  
   \[
   \Delta U = Q - W
   \]
   其中：
   - \( \Delta U \) 为内能变化，
   - \( Q \) 为气体吸收的热量，
   - \( W \) 为气体对外做的功（此处 \( A = W = 800 \, \mathrm{J} \))。
4. **代入条件**：  
   \[
   \Delta U = 0 \implies 0 = Q - W \implies Q = W
   \]
5. **计算结果**：  
   \[
   Q = W = 800 \, \mathrm{J}
   \]
6. **有效数字**：结果需保留三位有效数字。800 本身具有三位有效数字（可表示为 \( 8.00 \times 10^2 \, \mathrm{J} \))。

### 最终答案：
气体吸收的热量为 \( 800 \, \mathrm{J} \).

\boxed{800 \, \mathrm{J}}"
5,在康普顿散射实验中，若测得散射光子波长是入射光子波长的1.2倍。求散射光子能量 \( \varepsilon \) 与反冲电子动能 \( E_{\mathrm{k}} \) 之比 \( \varepsilon / E_{\mathrm{k}} \) 的值。 (结果保留1位有效数字),5,"在康普顿散射实验中，给定散射光子波长 \(\lambda'\) 是入射光子波长 \(\lambda\) 的 1.2 倍，即 \(\lambda' = 1.2 \lambda\)。需要求散射光子能量 \(\varepsilon\) 与反冲电子动能 \(E_{\mathrm{k}}\) 之比 \(\varepsilon / E_{\mathrm{k}}\)。

### 步骤 1: 表达光子能量
入射光子能量 \(E\) 和散射光子能量 \(\varepsilon\) 与波长相关：
\[
E = \frac{hc}{\lambda}, \quad \varepsilon = \frac{hc}{\lambda'},
\]
其中 \(h\) 是普朗克常数，\(c\) 是光速。

### 步骤 2: 利用波长关系
给定 \(\lambda' = 1.2 \lambda\)，代入散射光子能量：
\[
\varepsilon = \frac{hc}{\lambda'} = \frac{hc}{1.2 \lambda} = \frac{1}{1.2} \cdot \frac{hc}{\lambda} = \frac{5}{6} E,
\]
因为 \(\frac{1}{1.2} = \frac{5}{6}\).

### 步骤 3: 应用能量守恒
假设电子初始静止，能量守恒方程为：
\[
E + m_e c^2 = \varepsilon + (E_{\mathrm{k}} + m_e c^2),
\]
其中 \(m_e c^2\) 是电子静止能量。简化得：
\[
E = \varepsilon + E_{\mathrm{k}}.
\]
因此，反冲电子动能：
\[
E_{\mathrm{k}} = E - \varepsilon.
\]

### 步骤 4: 代入散射光子能量
代入 \(\varepsilon = \frac{5}{6} E\)：
\[
E_{\mathrm{k}} = E - \frac{5}{6} E = \frac{1}{6} E.
\]

### 步骤 5: 计算比值
\[
\frac{\varepsilon}{E_{\mathrm{k}}} = \frac{\frac{5}{6} E}{\frac{1}{6} E} = \frac{5}{6} \times 6 = 5.
\]

### 步骤 6: 结果处理
比值 \(\varepsilon / E_{\mathrm{k}} = 5\) 是精确值，且已为一位有效数字（5）。

\[
\boxed{5}
\]"
6,在康普顿散射实验中，若测得散射光子波长是入射光子波长的1.3倍。求散射光子能量 \( \varepsilon \) 与反冲电子动能 \( E_{\mathrm{k}} \) 之比 \( \varepsilon / E_{\mathrm{k}} \) 的值。 (结果保留3位有效数字),3.33,"在康普顿散射中，能量守恒定律成立，即入射光子能量等于散射光子能量与反冲电子动能之和。设入射光子波长为 \(\lambda\)，散射光子波长为 \(\lambda'\)，给定 \(\lambda' = 1.3\lambda\)。

入射光子能量为：
\[
\varepsilon_i = \frac{hc}{\lambda}
\]
散射光子能量为：
\[
\varepsilon = \frac{hc}{\lambda'} = \frac{hc}{1.3\lambda} = \frac{\varepsilon_i}{1.3}
\]
反冲电子动能为：
\[
E_{\mathrm{k}} = \varepsilon_i - \varepsilon = \varepsilon_i - \frac{\varepsilon_i}{1.3} = \varepsilon_i \left(1 - \frac{1}{1.3}\right) = \varepsilon_i \left(\frac{0.3}{1.3}\right)
\]
散射光子能量与反冲电子动能之比为：
\[
\frac{\varepsilon}{E_{\mathrm{k}}} = \frac{\frac{\varepsilon_i}{1.3}}{\varepsilon_i \frac{0.3}{1.3}} = \frac{1}{1.3} \times \frac{1.3}{0.3} = \frac{1}{0.3} = \frac{10}{3} \approx 3.333
\]
结果保留三位有效数字，因此 \(\frac{\varepsilon}{E_{\mathrm{k}}} = 3.33\).

\[
\boxed{3.33}
\]"
7,在康普顿散射实验中，若测得散射光子波长是入射光子波长的1.4倍。求散射光子能量 \( \varepsilon \) 与反冲电子动能 \( E_{\mathrm{k}} \) 之比 \( \varepsilon / E_{\mathrm{k}} \) 的值。 (结果保留2位有效数字),2.5,"在康普顿散射实验中，散射光子波长 \(\lambda'\) 是入射光子波长 \(\lambda\) 的 1.4 倍，即 \(\lambda' = 1.4 \lambda\)。需要求散射光子能量 \(\varepsilon\) 与反冲电子动能 \(E_{\mathrm{k}}\) 之比 \(\varepsilon / E_{\mathrm{k}}\)。

光子能量与波长的关系为：
\[
\varepsilon = \frac{hc}{\lambda}
\]
其中 \(h\) 是普朗克常数，\(c\) 是光速。

设入射光子能量为 \(E_i = \frac{hc}{\lambda}\)，散射光子能量为 \(\varepsilon = \frac{hc}{\lambda'}\)。由 \(\lambda' = 1.4 \lambda\)，得：
\[
\varepsilon = \frac{hc}{1.4 \lambda} = \frac{E_i}{1.4}
\]

在康普顿散射中，电子初始静止，能量守恒给出：
\[
E_i + m_e c^2 = \varepsilon + \gamma m_e c^2
\]
其中 \(m_e\) 是电子质量，\(\gamma\) 是洛伦兹因子。反冲电子的总动能为：
\[
E_{\mathrm{k}} = (\gamma - 1) m_e c^2
\]
由能量守恒式移项得：
\[
\gamma m_e c^2 = E_i - \varepsilon + m_e c^2
\]
因此：
\[
E_{\mathrm{k}} = \gamma m_e c^2 - m_e c^2 = (E_i - \varepsilon + m_e c^2) - m_e c^2 = E_i - \varepsilon
\]

代入 \(\varepsilon = \frac{E_i}{1.4}\)：
\[
E_{\mathrm{k}} = E_i - \frac{E_i}{1.4} = E_i \left(1 - \frac{1}{1.4}\right)
\]
计算：
\[
1 - \frac{1}{1.4} = 1 - \frac{10}{14} = 1 - \frac{5}{7} = \frac{2}{7}
\]
所以：
\[
E_{\mathrm{k}} = E_i \cdot \frac{2}{7}
\]

比值 \(\varepsilon / E_{\mathrm{k}}\) 为：
\[
\frac{\varepsilon}{E_{\mathrm{k}}} = \frac{\frac{E_i}{1.4}}{E_i \cdot \frac{2}{7}} = \frac{1}{1.4} \cdot \frac{7}{2} = \frac{1}{1.4} \times 3.5
\]
其中：
\[
\frac{1}{1.4} = \frac{10}{14} = \frac{5}{7}, \quad \frac{5}{7} \times \frac{7}{2} = \frac{5}{2} = 2.5
\]
或者直接使用波长比：
设 \(r = \lambda' / \lambda = 1.4\)，则：
\[
\frac{\varepsilon}{E_{\mathrm{k}}} = \frac{1}{r - 1} = \frac{1}{1.4 - 1} = \frac{1}{0.4} = 2.5
\]

结果保留两位有效数字，得 2.5。

\[
\boxed{2.5}
\]"
8,在康普顿散射实验中，若测得散射光子波长是入射光子波长的1.5倍。求散射光子能量 \( \varepsilon \) 与反冲电子动能 \( E_{\mathrm{k}} \) 之比 \( \varepsilon / E_{\mathrm{k}} \) 的值。 (结果保留1位有效数字),2,"在康普顿散射实验中，散射光子波长 \(\lambda'\) 是入射光子波长 \(\lambda\) 的 1.5 倍，即 \(\lambda' = 1.5\lambda\)。

散射光子能量 \(\varepsilon\) 和入射光子能量 \(\varepsilon_i\) 分别为：
\[
\varepsilon = \frac{hc}{\lambda'}, \quad \varepsilon_i = \frac{hc}{\lambda}
\]
其中 \(h\) 是普朗克常数，\(c\) 是光速。

代入 \(\lambda' = 1.5\lambda\)：
\[
\varepsilon = \frac{hc}{1.5\lambda} = \frac{2}{3} \cdot \frac{hc}{\lambda} = \frac{2}{3} \varepsilon_i
\]

反冲电子动能 \(E_{\mathrm{k}}\) 由能量守恒定律给出。初始总能量为入射光子能量加上电子静止能量，最终总能量为散射光子能量加上电子总能量（静止能量加动能）。由于电子初始静止，能量守恒方程为：
\[
\varepsilon_i + m_e c^2 = \varepsilon + (m_e c^2 + E_{\mathrm{k}})
\]
简化得：
\[
\varepsilon_i = \varepsilon + E_{\mathrm{k}}
\]
因此：
\[
E_{\mathrm{k}} = \varepsilon_i - \varepsilon
\]
代入 \(\varepsilon = \frac{2}{3} \varepsilon_i\)：
\[
E_{\mathrm{k}} = \varepsilon_i - \frac{2}{3} \varepsilon_i = \frac{1}{3} \varepsilon_i
\]

求比值 \(\varepsilon / E_{\mathrm{k}}\):
\[
\frac{\varepsilon}{E_{\mathrm{k}}} = \frac{\frac{2}{3} \varepsilon_i}{\frac{1}{3} \varepsilon_i} = \frac{2}{3} \times 3 = 2
\]

结果保留一位有效数字，为 2。

\[
\boxed{2}
\]"
9,在 \( 60\mathrm{\;m} \) 赛跑中，一运动员从静止开始做匀加速运动，经过 \( 10\mathrm{\;m} \) 后速度达到 \( 8\mathrm{\;m}/\mathrm{s} \)，随后因腿部不适导致速度减小，且速度大小与从起点起的距离成反比。求该运动员完成整个赛程所需的时间。 (结果保留5位有效数字),24.375,"该运动员的运动分为两个阶段：第一阶段为匀加速运动，从起点到10 m处；第二阶段为速度与距离成反比的运动，从10 m到60 m处。

### 第一阶段：匀加速运动（0 m 到 10 m）
- 初始速度 \( u = 0  \mathrm{m/s} \)
- 距离 \( s_1 = 10  \mathrm{m} \)
- 末速度 \( v_1 = 8  \mathrm{m/s} \)

使用匀加速运动公式：
\[
v_1^2 = u^2 + 2a s_1
\]
代入已知值：
\[
8^2 = 0^2 + 2a \times 10
\]
\[
64 = 20a
\]
\[
a = \frac{64}{20} = 3.2  \mathrm{m/s^2}
\]

求时间 \( t_1 \)，使用公式：
\[
v_1 = u + a t_1
\]
\[
8 = 0 + 3.2 t_1
\]
\[
t_1 = \frac{8}{3.2} = 2.5  \mathrm{s}
\]

### 第二阶段：速度与距离成反比（10 m 到 60 m）
- 速度大小与从起点起的距离 \( s \) 成反比，即 \( v \propto \frac{1}{s} \)，故 \( v = \frac{k}{s} \)，其中 \( k \) 为常数。
- 在 \( s = 10  \mathrm{m} \) 时，\( v = 8  \mathrm{m/s} \)，代入求 \( k \):
\[
8 = \frac{k}{10}
\]
\[
k = 80
\]
因此：
\[
v = \frac{80}{s}  \mathrm{m/s}
\]

速度定义：
\[
v = \frac{ds}{dt}
\]
\[
\frac{ds}{dt} = \frac{80}{s}
\]
重排为：
\[
s  ds = 80  dt
\]
积分求时间 \( t_2 \)，从 \( s = 10  \mathrm{m} \) 到 \( s = 60  \mathrm{m} \):
\[
\int_{10}^{60} s  ds = \int_{0}^{t_2} 80  dt
\]
计算左边积分：
\[
\left[ \frac{1}{2} s^2 \right]_{10}^{60} = \frac{1}{2} (60)^2 - \frac{1}{2} (10)^2 = \frac{1}{2} \times 3600 - \frac{1}{2} \times 100 = 1800 - 50 = 1750
\]
计算右边积分：
\[
\int_{0}^{t_2} 80  dt = 80 t_2
\]
因此：
\[
1750 = 80 t_2
\]
\[
t_2 = \frac{1750}{80} = \frac{175}{8} = 21.875  \mathrm{s}
\]

### 总时间
总时间为两个阶段时间之和：
\[
t_{\text{total}} = t_1 + t_2 = 2.5 + 21.875 = 24.375  \mathrm{s}
\]
结果保留5位有效数字，为 24.375 s。

\[
\boxed{24.375}
\]"
10,在 \( 60\mathrm{\;m} \) 赛跑中，一运动员从静止开始做匀加速运动，经过 \( 10\mathrm{\;m} \) 后速度达到 \( 4\mathrm{\;m}/\mathrm{s} \)，随后因腿部不适导致速度减小，且速度大小与从起点起的距离成反比。求该运动员完成整个赛程所需的时间。 (结果保留4位有效数字),46.25,"该运动员的运动分为两个阶段：第一阶段为匀加速运动，从起点到10 m；第二阶段速度大小与距离成反比，从10 m到60 m。

### 第一阶段：匀加速运动（0 m 到 10 m）
- 初始速度 \( u = 0  \mathrm{m/s} \)
- 距离 \( s = 10  \mathrm{m} \) 时，速度 \( v = 4  \mathrm{m/s} \)
- 使用运动方程 \( v^2 = u^2 + 2as \)：
  \[
  4^2 = 0^2 + 2 \cdot a \cdot 10 \implies 16 = 20a \implies a = 0.8  \mathrm{m/s^2}
  \]
- 时间计算使用 \( v = u + at \)：
  \[
  4 = 0 + 0.8 \cdot t_1 \implies t_1 = \frac{4}{0.8} = 5  \mathrm{s}
  \]
第一阶段时间 \( t_1 = 5  \mathrm{s} \).

### 第二阶段：速度大小与距离成反比（10 m 到 60 m）
- 速度大小 \( v \) 与距离 \( s \)（从起点起）成反比，即 \( v = \frac{k}{s} \)
- 在 \( s = 10  \mathrm{m} \) 时， \( v = 4  \mathrm{m/s} \)，代入求常数 \( k \)：
  \[
  4 = \frac{k}{10} \implies k = 40
  \]
  因此 \( v = \frac{40}{s}  \mathrm{m/s} \)
- 时间计算：由 \( v = \frac{ds}{dt} \)，得 \( dt = \frac{ds}{v} = \frac{s}{40}  ds \)
- 积分求时间 \( t_2 \)：
  \[
  t_2 = \int_{10}^{60} \frac{s}{40}  ds = \frac{1}{40} \int_{10}^{60} s  ds = \frac{1}{40} \cdot \left[ \frac{s^2}{2} \right]_{10}^{60} = \frac{1}{80} \left( (60)^2 - (10)^2 \right)
  \]
- 计算：
  \[
  (60)^2 = 3600, \quad (10)^2 = 100, \quad 3600 - 100 = 3500
  \]
  \[
  t_2 = \frac{1}{80} \cdot 3500 = \frac{3500}{80} = 43.75  \mathrm{s}
  \]
第二阶段时间 \( t_2 = 43.75  \mathrm{s} \).

### 总时间
- 总时间 \( t = t_1 + t_2 = 5 + 43.75 = 48.75  \mathrm{s} \)
- 结果保留4位有效数字：48.75 s

\[
\boxed{48.75}
\]"
