mid,subid,standard_question,standard_answer,R1_response
1,0,"一定质量的理想气体经历等温膨胀，对外做功 \( A = 500 \, \mathrm{J} \)，求气体吸收的热量 \( Q \)。 (结果保留3位有效数字)",500,"### 问题分析
该问题涉及理想气体经历等温膨胀过程。已知气体对外做功 \( A = 500 \, \mathrm{J} \)，要求计算气体吸收的热量 \( Q \)，结果保留三位有效数字。

### 关键概念
- 理想气体的内能仅与温度有关。
- 等温过程中，温度保持不变，因此内能变化 \(\Delta U = 0\)。
- 热力学第一定律：\(\Delta U = Q - W\)，其中：
  - \(Q\) 是气体吸收的热量，
  - \(W\) 是气体对外做的功。

### 给定数据
- 气体对外做功：\( W = A = 500 \, \mathrm{J} \)（因为 \(A\) 表示对外做功）。
- 等温过程：\(\Delta U = 0\).

### 应用热力学第一定律
代入热力学第一定律：
\[
\Delta U = Q - W
\]
\[
0 = Q - 500
\]
解得：
\[
Q = 500 \, \mathrm{J}
\]

### 有效数字
结果要求保留三位有效数字。\(500\) 中的数字 \(5, 0, 0\) 均为有效数字，因此 \(500\) 具有三位有效数字。

### 结论
气体吸收的热量 \(Q = 500 \, \mathrm{J}\).

### 最终答案
\[
\boxed{500}
\]

单位：\(\mathrm{J}\)（焦耳），在答案中已隐含给定单位。"
1,1,"一定质量的理想气体经历等温膨胀，对外做功 \( A = 600 \, \mathrm{J} \)，求气体吸收的热量 \( Q \)。 (结果保留3位有效数字)",600,"### 解答：

该问题涉及一定质量的理想气体经历等温膨胀过程，已知气体对外做功 \( A = 600 \, \mathrm{J} \)，需求气体吸收的热量 \( Q \)，结果保留三位有效数字。

#### 步骤分析：
1. **理解过程**：气体经历等温膨胀，即温度保持不变。
2. **理想气体内能**：理想气体的内能仅取决于温度。在等温过程中，温度不变，因此内能变化 \(\Delta U = 0\)。
3. **热力学第一定律**：\(\Delta U = Q - W\)，其中 \(Q\) 为系统吸收的热量，\(W\) 为系统对外做的功（标准符号中，\(W\) 表示系统对外做功）。
4. **应用定律**：代入 \(\Delta U = 0\)，得到：
   \[
   0 = Q - W \implies Q = W
   \]
5. **确定功的值**：问题中给出的 \(A = 600 \, \mathrm{J}\) 即为气体对外做的功，因此 \(W = A = 600 \, \mathrm{J}\)。
6. **计算热量**：
   \[
   Q = W = 600 \, \mathrm{J}
   \]
7. **有效数字**：结果需保留三位有效数字。\(600\) 已具有三位有效数字（可视为 \(6.00 \times 10^2\)），因此无需调整。

#### 最终答案：
气体吸收的热量 \(Q\) 为 \(600 \, \mathrm{J}\)。

\boxed{600}"
1,2,"一定质量的理想气体经历等温膨胀，对外做功 \( A = 700 \, \mathrm{J} \)，求气体吸收的热量 \( Q \)。 (结果保留3位有效数字)",700,"对于一定质量的理想气体经历等温膨胀过程，温度保持不变。理想气体的内能仅取决于温度，因此温度不变时，内能变化 \(\Delta U = 0\)。

根据热力学第一定律：
\[
\Delta U = Q - W
\]
其中，\(Q\) 是气体吸收的热量，\(W\) 是气体对外做的功。

代入 \(\Delta U = 0\) 和 \(W = A = 700 \, \mathrm{J}\)（题目中给出的功 \(A\) 即对外做功）：
\[
0 = Q - 700
\]

解得：
\[
Q = 700 \, \mathrm{J}
\]

结果需保留三位有效数字，700 已具有三位有效数字。

\[
\boxed{700}
\]"
1,3,"一定质量的理想气体经历等温膨胀，对外做功 \( A = 800 \, \mathrm{J} \)，求气体吸收的热量 \( Q \)。 (结果保留3位有效数字)",800,"该问题涉及一定质量的理想气体经历等温膨胀过程。已知气体对外做功 \( A = 800 \, \mathrm{J} \)，需求气体吸收的热量 \( Q \)。

### 步骤分析：
1. **理解过程**：气体经历等温膨胀，即温度 \( T \) 保持不变。
2. **理想气体内能**：理想气体的内能 \( U \) 仅取决于温度。由于温度不变，内能变化 \( \Delta U = 0 \)。
3. **热力学第一定律**：  
   \[
   \Delta U = Q - W
   \]
   其中：
   - \( \Delta U \) 为内能变化，
   - \( Q \) 为气体吸收的热量，
   - \( W \) 为气体对外做的功（此处 \( A = W = 800 \, \mathrm{J} \))。
4. **代入条件**：  
   \[
   \Delta U = 0 \implies 0 = Q - W \implies Q = W
   \]
5. **计算结果**：  
   \[
   Q = W = 800 \, \mathrm{J}
   \]
6. **有效数字**：结果需保留三位有效数字。800 本身具有三位有效数字（可表示为 \( 8.00 \times 10^2 \, \mathrm{J} \))。

### 最终答案：
气体吸收的热量为 \( 800 \, \mathrm{J} \).

\boxed{800 \, \mathrm{J}}"
2,0,"作简谐运动的质点，速度最大值为 \( v_{\mathrm{m}} = 3\,\mathrm{cm/s} \)，振幅 \( A = 2\,\mathrm{cm} \)，若从经过平衡位置向正方向运动的时刻开始计时。求振动的周期。 (结果保留2位有效数字)",4.2,"在简谐运动中，速度最大值 \( v_{\mathrm{m}} \) 与振幅 \( A \) 和角频率 \( \omega \) 的关系为：
\[
v_{\mathrm{m}} = A \omega
\]
给定 \( v_{\mathrm{m}} = 3 \, \mathrm{cm/s} \) 和 \( A = 2 \, \mathrm{cm} \)，代入公式：
\[
3 = 2 \omega
\]
解得：
\[
\omega = \frac{3}{2} = 1.5 \, \mathrm{rad/s}
\]
角频率 \( \omega \) 与周期 \( T \) 的关系为：
\[
\omega = \frac{2\pi}{T}
\]
因此：
\[
T = \frac{2\pi}{\omega} = \frac{2\pi}{1.5} = \frac{4\pi}{3} \, \mathrm{s}
\]
数值计算： \( \pi \approx 3.1415926535 \)，所以：
\[
4\pi = 12.566370614, \quad T = \frac{12.566370614}{3} = 4.1887902047 \, \mathrm{s}
\]
保留两位有效数字：4.1887902047 的第三位数字为 8（大于或等于 5），因此第二位数字从 1 进位为 2，得到 \( T \approx 4.2 \, \mathrm{s} \).

初始条件（从平衡位置向正方向运动开始计时）不影响最大速度或周期的计算，因此上述结果成立。

\[
\boxed{4.2}
\]"
2,1,"作简谐运动的质点，速度最大值为 \( v_{\mathrm{m}} = 3\,\mathrm{cm/s} \)，振幅 \( A = 3\,\mathrm{cm} \)，若从经过平衡位置向正方向运动的时刻开始计时。求振动的周期。 (结果保留2位有效数字)",6.3,"在简谐运动中，速度最大值 \( v_{\mathrm{m}} \) 与振幅 \( A \) 和角频率 \( \omega \) 的关系为：
\[
v_{\mathrm{m}} = A \omega
\]
给定 \( v_{\mathrm{m}} = 3  \mathrm{cm/s} \) 和 \( A = 3  \mathrm{cm} \)，代入公式：
\[
3 = 3 \omega
\]
解得：
\[
\omega = 1  \mathrm{rad/s}
\]
角频率 \( \omega \) 与周期 \( T \) 的关系为：
\[
\omega = \frac{2\pi}{T}
\]
代入 \( \omega = 1  \mathrm{rad/s} \)：
\[
1 = \frac{2\pi}{T}
\]
解得：
\[
T = 2\pi  \mathrm{s}
\]
数值计算：\( 2\pi \approx 6.2832 \)，保留两位有效数字为 \( 6.3 \)。  
计时起点（从平衡位置向正方向运动）不影响周期，因此周期为 \( 6.3  \mathrm{s} \)。  

\boxed{6.3}"
2,2,"作简谐运动的质点，速度最大值为 \( v_{\mathrm{m}} = 3\,\mathrm{cm/s} \)，振幅 \( A = 1\,\mathrm{cm} \)，若从经过平衡位置向正方向运动的时刻开始计时。求振动的周期。 (结果保留2位有效数字)",2.1,"问题涉及简谐运动。已知速度最大值 \( v_{\mathrm{m}} = 3 \, \mathrm{cm/s} \)，振幅 \( A = 1 \, \mathrm{cm} \)，并从质点经过平衡位置向正方向运动的时刻开始计时。

在简谐运动中，位移 \( x \) 可表示为：
\[
x = A \sin(\omega t)
\]
其中 \( \omega \) 为角频率。初始条件为 \( t = 0 \) 时 \( x = 0 \)（平衡位置），且速度 \( v > 0 \)（向正方向运动）。

速度 \( v \) 为位移的导数：
\[
v = \frac{dx}{dt} = A \omega \cos(\omega t)
\]
速度的最大值发生在 \( \cos(\omega t) = \pm 1 \) 时，因此：
\[
v_{\mathrm{m}} = A \omega
\]
代入已知值：
\[
3 \, \mathrm{cm/s} = (1 \, \mathrm{cm}) \cdot \omega
\]
解得角频率：
\[
\omega = \frac{3 \, \mathrm{cm/s}}{1 \, \mathrm{cm}} = 3 \, \mathrm{rad/s}
\]
振动周期 \( T \) 与角频率的关系为：
\[
T = \frac{2\pi}{\omega}
\]
代入 \( \omega = 3 \, \mathrm{rad/s} \):
\[
T = \frac{2\pi}{3} \, \mathrm{s}
\]
计算数值：\( \pi \approx 3.1416 \)，所以：
\[
2\pi \approx 6.2832, \quad T \approx \frac{6.2832}{3} \approx 2.0944 \, \mathrm{s}
\]
结果保留两位有效数字：\( 2.0944 \) 的第一位有效数字为 2，第二位为 0（即 2.0），第三位为 9（大于 5），因此进位，第二位从 0 变为 1，得 \( 2.1 \, \mathrm{s} \).

最终答案为 \( 2.1 \, \mathrm{s} \).

\[
\boxed{2.1}
\]

单位：秒（s）。"
2,3,"作简谐运动的质点，速度最大值为 \( v_{\mathrm{m}} = 3\,\mathrm{cm/s} \)，振幅 \( A = 4\,\mathrm{cm} \)，若从经过平衡位置向正方向运动的时刻开始计时。求振动的周期。 (结果保留2位有效数字)",8.4,"### 解答：

该问题涉及简谐运动。已知速度最大值 \( v_{\mathrm{m}} = 3 \, \mathrm{cm/s} \)，振幅 \( A = 4 \, \mathrm{cm} \)。计时起点为质点经过平衡位置向正方向运动的时刻。需要求振动的周期，结果保留两位有效数字。

在简谐运动中，位移方程为：
\[
x(t) = A \cos(\omega t + \phi)
\]
其中，\( \omega \) 为角频率，\( \phi \) 为初相位。

速度方程为位移的导数：
\[
v(t) = \frac{dx}{dt} = -A \omega \sin(\omega t + \phi)
\]

速度的最大值 \( v_{\mathrm{m}} \) 发生在 \( \sin(\omega t + \phi) = \pm 1 \) 时，因此：
\[
v_{\mathrm{m}} = A \omega
\]

代入已知值：
\[
3 = 4 \omega
\]
解得角频率：
\[
\omega = \frac{3}{4} = 0.75 \, \mathrm{rad/s}
\]

振动周期 \( T \) 与角频率的关系为：
\[
\omega = \frac{2\pi}{T}
\]
因此：
\[
T = \frac{2\pi}{\omega}
\]
代入 \( \omega = 0.75 \, \mathrm{rad/s} \):
\[
T = \frac{2\pi}{0.75} = \frac{2\pi}{\frac{3}{4}} = 2\pi \times \frac{4}{3} = \frac{8\pi}{3} \, \mathrm{s}
\]

计算数值（取 \( \pi \approx 3.1415926535 \))：
\[
T = \frac{8 \times 3.1415926535}{3} = \frac{25.132741228}{3} \approx 8.377580409 \, \mathrm{s}
\]

结果保留两位有效数字：8.377580409 的第一个非零数字为 8，第二位数字为 3，第三位数字为 7（大于或等于 5），因此第二位数字进位，结果为 8.4 s。

计时起点条件（经过平衡位置向正方向运动）用于确定初相位，但不影响周期计算，因为周期仅取决于振幅和速度最大值。

因此，振动周期为 8.4 秒。

\[
\boxed{8.4\,\text{s}}
\]"
3,0,在 \( 60\mathrm{\;m} \) 赛跑中，一运动员从静止开始做匀加速运动，经过 \( 10\mathrm{\;m} \) 后速度达到 \( 8\mathrm{\;m}/\mathrm{s} \)，随后因腿部不适导致速度减小，且速度大小与从起点起的距离成反比。求该运动员完成整个赛程所需的时间。 (结果保留5位有效数字),24.375,"该运动员的运动分为两个阶段：第一阶段为匀加速运动，从起点到10 m处；第二阶段为速度与距离成反比的运动，从10 m到60 m处。

### 第一阶段：匀加速运动（0 m 到 10 m）
- 初始速度 \( u = 0  \mathrm{m/s} \)
- 距离 \( s_1 = 10  \mathrm{m} \)
- 末速度 \( v_1 = 8  \mathrm{m/s} \)

使用匀加速运动公式：
\[
v_1^2 = u^2 + 2a s_1
\]
代入已知值：
\[
8^2 = 0^2 + 2a \times 10
\]
\[
64 = 20a
\]
\[
a = \frac{64}{20} = 3.2  \mathrm{m/s^2}
\]

求时间 \( t_1 \)，使用公式：
\[
v_1 = u + a t_1
\]
\[
8 = 0 + 3.2 t_1
\]
\[
t_1 = \frac{8}{3.2} = 2.5  \mathrm{s}
\]

### 第二阶段：速度与距离成反比（10 m 到 60 m）
- 速度大小与从起点起的距离 \( s \) 成反比，即 \( v \propto \frac{1}{s} \)，故 \( v = \frac{k}{s} \)，其中 \( k \) 为常数。
- 在 \( s = 10  \mathrm{m} \) 时，\( v = 8  \mathrm{m/s} \)，代入求 \( k \):
\[
8 = \frac{k}{10}
\]
\[
k = 80
\]
因此：
\[
v = \frac{80}{s}  \mathrm{m/s}
\]

速度定义：
\[
v = \frac{ds}{dt}
\]
\[
\frac{ds}{dt} = \frac{80}{s}
\]
重排为：
\[
s  ds = 80  dt
\]
积分求时间 \( t_2 \)，从 \( s = 10  \mathrm{m} \) 到 \( s = 60  \mathrm{m} \):
\[
\int_{10}^{60} s  ds = \int_{0}^{t_2} 80  dt
\]
计算左边积分：
\[
\left[ \frac{1}{2} s^2 \right]_{10}^{60} = \frac{1}{2} (60)^2 - \frac{1}{2} (10)^2 = \frac{1}{2} \times 3600 - \frac{1}{2} \times 100 = 1800 - 50 = 1750
\]
计算右边积分：
\[
\int_{0}^{t_2} 80  dt = 80 t_2
\]
因此：
\[
1750 = 80 t_2
\]
\[
t_2 = \frac{1750}{80} = \frac{175}{8} = 21.875  \mathrm{s}
\]

### 总时间
总时间为两个阶段时间之和：
\[
t_{\text{total}} = t_1 + t_2 = 2.5 + 21.875 = 24.375  \mathrm{s}
\]
结果保留5位有效数字，为 24.375 s。

\[
\boxed{24.375}
\]"
3,1,在 \( 60\mathrm{\;m} \) 赛跑中，一运动员从静止开始做匀加速运动，经过 \( 10\mathrm{\;m} \) 后速度达到 \( 4\mathrm{\;m}/\mathrm{s} \)，随后因腿部不适导致速度减小，且速度大小与从起点起的距离成反比。求该运动员完成整个赛程所需的时间。 (结果保留4位有效数字),46.25,"该运动员的运动分为两个阶段：第一阶段为匀加速运动，从起点到10 m；第二阶段速度大小与距离成反比，从10 m到60 m。

### 第一阶段：匀加速运动（0 m 到 10 m）
- 初始速度 \( u = 0  \mathrm{m/s} \)
- 距离 \( s = 10  \mathrm{m} \) 时，速度 \( v = 4  \mathrm{m/s} \)
- 使用运动方程 \( v^2 = u^2 + 2as \)：
  \[
  4^2 = 0^2 + 2 \cdot a \cdot 10 \implies 16 = 20a \implies a = 0.8  \mathrm{m/s^2}
  \]
- 时间计算使用 \( v = u + at \)：
  \[
  4 = 0 + 0.8 \cdot t_1 \implies t_1 = \frac{4}{0.8} = 5  \mathrm{s}
  \]
第一阶段时间 \( t_1 = 5  \mathrm{s} \).

### 第二阶段：速度大小与距离成反比（10 m 到 60 m）
- 速度大小 \( v \) 与距离 \( s \)（从起点起）成反比，即 \( v = \frac{k}{s} \)
- 在 \( s = 10  \mathrm{m} \) 时， \( v = 4  \mathrm{m/s} \)，代入求常数 \( k \)：
  \[
  4 = \frac{k}{10} \implies k = 40
  \]
  因此 \( v = \frac{40}{s}  \mathrm{m/s} \)
- 时间计算：由 \( v = \frac{ds}{dt} \)，得 \( dt = \frac{ds}{v} = \frac{s}{40}  ds \)
- 积分求时间 \( t_2 \)：
  \[
  t_2 = \int_{10}^{60} \frac{s}{40}  ds = \frac{1}{40} \int_{10}^{60} s  ds = \frac{1}{40} \cdot \left[ \frac{s^2}{2} \right]_{10}^{60} = \frac{1}{80} \left( (60)^2 - (10)^2 \right)
  \]
- 计算：
  \[
  (60)^2 = 3600, \quad (10)^2 = 100, \quad 3600 - 100 = 3500
  \]
  \[
  t_2 = \frac{1}{80} \cdot 3500 = \frac{3500}{80} = 43.75  \mathrm{s}
  \]
第二阶段时间 \( t_2 = 43.75  \mathrm{s} \).

### 总时间
- 总时间 \( t = t_1 + t_2 = 5 + 43.75 = 48.75  \mathrm{s} \)
- 结果保留4位有效数字：48.75 s

\[
\boxed{48.75}
\]"
