mid,standard_question,standard_answer,type
1,"王力深深热爱着园艺事业，凭借这一专长，他在社区中积累了一定的知名度，常因精湛技艺赢得邻里称赞。陈悦作为社区活动的主要策划者，负责组织各类活动事宜；赵阳则是社区组织的负责人，掌管整体事务运作。某日，陈悦主动找到赵阳，她热情地提议组织一场以园艺为主题的庆祝活动，并郑重推荐邀请王力出席，以便展示他丰富的园艺成果。赵阳听后，表情中流露出瞬间的迟疑，但陈悦立即向他投以温暖的微笑，并以点头方式表达了坚定认可。随后，活动邀请函顺利发出后，王力很快便爽快回应了邀请。

你认为赵阳在那一刻的心理状态可能是什么呢？

A. 赵阳感到无比欣喜，他预料到王力的参与定能使这场活动取得圆满成功。
B. 赵阳内心略带忧虑，他担心邀请王力或许会带来意想不到的负面后果。
C. 赵阳情绪有些沮丧，根源于他本身对王力缺乏足够好感。
D. 赵阳陷入一丝困扰，他虽对王力充满钦佩之情，却又怀疑对方是否愿意欣然赴约。 
E. 小红内心渴望着小张能请她享用一杯美味奶茶。
F. 小红明确表态，完全不愿意伸出援手帮助小张。
G. 小红身体疲倦不堪，压根儿没有弄懂小张问题的意思。 
H. 小红表示，当前她只想饮用清水以解口渴之感。",D,MCQ
2,"李华在静谧的图书馆阅览区漫步时，无意中留意到一个标有“毛衣”字样的保险箱。由于箱子封闭严实，他根本无法窥视内部内容。出于好奇，李华小心翼翼地打开保险箱，却意外发现其中仅摆放着一条围巾，丝毫不见毛衣的影子。检查完毕后，他迅速锁好保险箱，并将其原封不动地归置回书架旁的位置。这时，王丽恰好步入图书馆，她的视线立刻被这个略显神秘的保险箱吸引住了。

保险箱里应该有什么？

A. 围巾。
B. 毛衣。
C. 书。
D. 衬衫。 
E. 他可以考虑提出在家举办一场小型庆祝活动，或者选择参与其他安全性高的社交项目作为替代方案。 
F. 他建议邀请父母或信赖的成年亲戚陪同参加聚会，以便增强家长的信心和安心感。 
G. 他可以承诺定期发消息向父母更新自己的情况和位置信息。 
H. 他提议将此作为一次试探性的安排，并明确保证不会对学业成绩产生不良影响。",B,MCQ
3,"小张和小王正兴奋地筹备他们的婚礼，商量婚礼日期。在一个宁静的下午茶时光里，小张提议道：“我们有两个可行的日期：6月15日或者8月10日。”小王稍作沉思，回应说：“或许8月10日会更理想一些。”小张仔细考虑片刻，温和地表示：“我真心尊重你的决定。”小王感激地答道：“非常感谢你的包容，期盼那天风和日丽。”

如果有的话，哪句话不合适？

A. 或许8月10日会更理想一些。 
B. 我真心尊重你的决定。 
C. 非常感谢你的包容，期盼那天风和日丽。 
D. 没有不合适的句子。 
E. 李教授，能否麻烦您重新复述一下刚才的内容？我还有些疑问没解决。 
F. 这个概念确实颇具挑战性，我会从一个浅显的例子重新切入讲解，确保每一位学生都能清晰掌握。 
G. 我非常欣慰你能主动提出疑问，这对优化我们的教学过程大有裨益。 
H. 他和教师们共同参与了一项户外拓展训练活动，突显了团队协作和其他非学术技能的核心价值。",D,MCQ
4,"小琳的爷爷满怀对故乡的眷恋，期盼重返旧地探望久别的故交好友。可小琳顾虑到路途存在的种种安全隐患，例如交通安全和老人独自行动的难度，因此殷切希望爷爷等她一同前往，但爷爷依然固执地选择独自出行。

小琳该如何以温和有效的方式说服爷爷呢？ 

A. 爷爷啊，每当想到您可能遭遇不测，我就提心吊胆；如果我能陪伴在您身旁一起同行，或许能让您更安全，我也会减轻悬在心头的忧虑。 
B. 假使您最终决定单独启程，是否愿意将详细的行程路线和计划提前告知我呢？这样一来，我能及时了解您的动向，内心就能踏实许多。 
C. 爷爷，上次我们共同经历的山水之旅多么愉快难忘啊！我无比渴望这次回乡探友也能重温那份温情，携手同行制造更多美好回忆。 
D. 其实我一直渴望深入聆听您与旧日老友间的深厚情谊和陈年趣事；倘若我们能并肩踏上旅程，沿途您可以娓娓道来这些故事，让我尽享故事的魅力。 
E. 班级即将自下周实施全新的座位布局规划，为大家创造更舒适的课堂环境。 
F. 我将竭尽所能考虑到每位同学的偏好和习惯，细致周到地进行座位排布。 
G. 我深知您偏爱靠窗能欣赏风景的座位，所以特意预留了这个位置供您使用。 
H. 整个叙述中并不存在任何需要修正的不当用词或表达。",D,MCQ
5,"在社区中心里，小明和小刚并肩辛勤忙碌着，只为筹备一场即将到来的慈善活动。正当两人全神贯注地工作时，小明不经意间停下手中的事务，目光落在墙面的挂钟上，面容浮现一丝急迫的神情。接着，他将视线转向小刚，大步走到其身旁。低声交流片刻后，小明郑重地将一份签有自己名字的文件递给小刚。小刚翻阅文件后，轻轻点头，表露出些许无可奈何的情绪。小明见状微微一笑，友善地拍了拍小刚的脊背，随即转身匆匆离开，此时还未到下班的时刻。小刚注视着小明的背影远去，接着再次低头审视手中的文件。作为团队成员的小红，默默地注意到了小明的所有行为。

你认为小红会怎么想？

A. 小红感到茫然不解，因为她不明白小明的这一系列行为究竟有何深意。
B. 小红认为，小明的举动本质上是在以工作的名义表达对小刚的赞誉和信靠。
C. 小红为小明的辛劳而担忧，她觉得团队中的成员可能需要分担部分工作任务。
D. 小红心底舒了一口气，她庆幸小明并没有将职责甩给自己承担。
E. 我在想，我们可以共同尝试诸多活动，譬如外出旅游或……
F. 或者设想其他更久远的规划蓝图。
G. 我们不妨从细微处开始着手，优先享受当下的美好时光。
H. 不存在不合适的句子。",D,MCQ
6,"张涛与李娜夫妇已携手走过多年婚姻时光，两人之间的情感依然深厚如初。日常生活中，他们常常因忙碌的工作而鲜少共享闲暇。近来，李娜在工作中面临若干棘手挑战，她感觉张涛对自己的烦恼显得漠不关心。值此结婚纪念日之夜，张涛别出心裁地筹备了一场洋溢温情与情调的浪漫晚餐，整个氛围令人沉醉。

此时，李娜可能涌现出怎样的内心波动呢？

A. 欣喜不已。
B. 深感失落。
C. 愤怒难平。
D. 懊恼后悔。
E. 王芳可能认为赵强与孙悦的交谈与自己毫不相干，因此表现出冷淡姿态。 
F. 王芳或许会因赵强和孙悦未邀约她一同观影而萌生难过之情。
G. 王芳满心欢喜，猜测赵强可能向她传递好感。
H. 王芳怒火中烧，因她以为赵强仅赠送孙悦电影票而未顾及自己。",A,MCQ
7,"在周四的午后时分，大学教室里阳光和煦，张教授正耐心地为学生们剖析一项深奥的经济原理。赵同学犹豫片刻后举起手，询问道：“张教授，请您再复述一遍刚才的要点好吗？我对这仍旧有些摸不着头脑。”张教授和善地笑了笑，点头回应道：“这个概念的确很有挑战性，那我另寻一个简单的例子重新讲解，保证所有人听完都豁然开朗。”赵同学随即感激地说：“真佩服您如此细致！”张教授补充道：“我很欣赏你能主动提问，这为我们改进教学方法提供了宝贵建议。”

如果有，哪句话不合适呢？

A. 张教授，请您再复述一遍刚才的要点好吗？我对这仍旧有些摸不着头脑。
B. 这个概念的确很有挑战性，那我另寻一个简单的例子重新讲解，保证所有人听完都豁然开朗。
C. 我很欣赏你能主动提问，这为我们改进教学方法提供了宝贵建议。
D. 没有不合适的句子。
E. 也许 8 月 15 号会更好。
F. 我尊重你的意见。
G. 感谢你的理解，我希望那天天气不错。
H. 我不愿意再次复述。",D,MCQ
8,"公司中，小赵面临一个关键大项目的机遇，然而他必须依赖张经理的鼎力支持。

因此，小赵应采用何种方法有效地打动张经理呢？

A. 小赵向张经理提交一份周密完整的项目规划方案，系统地介绍项目的核心目标、预估收益以及分阶段执行流程的具体细节。
B. 通过邀请张经理亲身参与项目中的若干关键环节，小赵能够让他深入体验项目的潜在价值和实际效益。
C. 凭借高超的沟通艺术和说服技巧，小赵成功建立了张经理的坚定信任。
D. 凭借自身真挚的情感和满满的热情感染力，小赵说服了张经理全力支持该项目。
E. 知道。
F. 不知道。
G. 在故事叙述中，有人发表了不恰当的言论。
H. 整个故事情节中，未曾出现任何不合适的言语内容。",A,MCQ
9,"在一个周三的午后，公司正式公布了本月的优秀员工名单，小李惊喜地发现自己荣获了这一荣誉。他兴奋地冲进办公室，看到同事小赵正埋头整理文件，便开心地说：“小赵，我被评为本月的优秀员工了，你的建议真的帮了我大忙！”小赵听后脸上露出微笑，真诚地回应道：“恭喜你啊，小李。这个月你表现得格外出色。”这时，经理恰巧走过，赞许地说：“小李，你做得很好，继续保持这股劲头。”随后，小李转向小赵，由衷地表示：“我认为我们团队的每个人都非常优秀，真心希望你下个月也能拿到这个荣誉。”小赵微笑着点头示意，接着继续专注工作。

如果有，哪句话不合适？

A. 小赵，我被评为本月的优秀员工了，你的建议真的帮了我大忙。
B. 恭喜你啊，小李。这个月你表现得格外出色。
C. 我认为我们团队的每个人都非常优秀，真心希望你下个月也能拿到这个荣誉。
D. 没有不合适的句子。
E. 针对这个问题，红红，我们可以去咨询其他同学或老师的看法。
F. 不如我们一起认真探讨这个问题，或许能找到共同的解答。
G. 小明分享了老师此前的解析答案，希望能对小红的理解有所启发。
H. 小明可以提醒小红回想一下老师在课堂上对这个问题的讲解方式。",D,MCQ
10,"在紧张的项目评审会议中，王助理正有条不紊地向李经理汇报工作进展。张总监突然推门而入，热情洋溢地提议道：“我认为我们应当调整项目方向，采取更具创新性的策略。”李经理深知决策早已确定，便面带微笑地回应：“感谢您的宝贵建议，我们会认真考虑的。”会议室里，另一位参与决策的同事悄然与王助理交换了个意味深长的眼神，随即转移话题道：“让我们进入下一个议程事项吧。” 

在上述情境中，若有言语失当之处，会是哪一句呢？
 
A. 我认为我们应当调整项目方向，采取更具创新性的策略。 
B. 感谢您的宝贵建议，我们会认真考虑的。 
C. 让我们进入下一个议程事项吧。 
D. 对话中不存在任何不合适的言语。 
E. 林悦忧心忡忡，担心自己即将撰写的文章可能无法达到众人寄予的高度期望。 
F. 林悦的文章中夹杂着若干未经核实的信息，她忧虑这些内容可能引发争议风波。 
G. 鉴于作品备受关注，林悦担忧个人信息存在泄露的风险。 
H. 骤然置身于万众瞩目之下，林悦深恐自己无力承受这份沉甸甸的关注和期待。",D,MCQ
