mid,standard_question,standard_answer,R1_response
65,"李芳芳是一位痴迷于音乐的人，她偶然得知邻居孙先生计划在社区中心的礼堂举办一场深情的钢琴演奏会，以此缅怀他已过世的挚爱妻子。



李芳芳对孙先生这场特别的钢琴音乐会有何反应？



A. 她内心涌起了深切的悲伤。

B. 她体验到了强烈的激动之情。

C. 她被一阵莫名的恐惧所笼罩。

D. 她感受到难以抑制的愤怒之意。

E. 她表达了祝愿父亲健康长寿、能长久陪伴家人的真挚心声。

F. 她通过精确计算展示了一年吸烟的巨额花费，并指出这笔资金可用于更有意义的人生目标。

G. 她流露了对父亲深厚的关爱与担忧，坦言内心害怕失去至亲。

H. 她提议父亲进行一次全面的健康检查，以便更准确地了解自身身体状况。",A,A
69,"在项目会议的场合下，助理小王正在向经理小李汇报工作进度。经理小李此时已决定继续大力推动环保项目。主管小张闻讯后立即表达支持：“我十分拥护我们的环保项目方向，我认为这正是最佳选择。”经理小李随即回应：“非常感谢你的支持，让我们共同加油。”同时，会议室内的另一位同事点头示意道：“那么，我们接着讨论下一个议题如何？”



如果有的话，哪句话显得不妥呢？



A. 我十分拥护我们的环保项目方向，我认为这正是最佳选择。

B. 非常感谢你的支持，让我们共同加油。

C. 那么，我们接着讨论下一个议题如何？

D. 故事中不存在任何不妥的句子。

E. 赵强认出对方竟是他的老朋友，因此意外重逢而欢欣鼓舞。

F. 赵强偶然听到电话内容涉及他近期求职的动向。

G. 那位大声通话的顾客是知名喜剧演员，赵强身为他的忠实粉丝，近距离接触偶像让其激动万分。

H. 电话内容提及了一项普通人拼搏得来的绝佳职位机会的喜讯，这令赵强雀跃不已。",D,D
74,"因为家庭缘由，小赵计划搬家。于是，在周六傍晚，他组织了一个小型聚会，并热情邀请了几位挚友，其中便有熟悉的小孙。小孙一踏进小赵家门，立刻注意到客厅角落摆放着几个满满当当的大箱子，便好奇地提问道：“这些箱子是收拾杂物用的吧？”小赵点头解释道：“没错，哦，其实我最近都在整理和打包呢。”听罢，小孙恍然地应声道：“看来你要搬家了，对吧？放心，以后我会常常登门造访。”随后，两人便热烈地讨论起搬家前的准备工作细节。



如果有，哪句话不合适呢？



A. 这些箱子是收拾杂物用的吧？

B. 没错，哦，其实我最近都在整理和打包呢。

C. 看来你要搬家了，对吧？放心，以后我会常常登门造访。

D. 没有不合适的句子。

E. 由于雅琴偏爱食用香蕉。

F. 鉴于香蕉相比苹果和梨更类似电话。

G. 因为她旨在逗乐雅萱。

H. 由于她正在与雅萱开玩笑。",D,C
76,"小阳在停车区偶然发现一个行李箱，其外部标签清晰地印着“玉米”二字，他好奇地凑近查看却无法窥视内部究竟装了什么物品。小阳小心翼翼地打开行李箱，结果出乎意料地发现里面仅有一支铅笔，根本不见玉米的踪影。随后，他关好行李箱并将其放回原处。恰在此时，小辉步入停车区，也注意到了这个行李箱。 



这个行李箱里应该装着什么？

 

A. 一支铅笔。 

B. 一件运动衫。 

C. 玉米。 

D. 一台计算器。 

E. 故事中有人发表了不当言论。 

F. 故事中无人发表不当言论。 

G. 由于赵强患上感冒，身体虚弱，无法应对繁重的工作负荷。 

H. 他通过详细计算演示了一年吸烟所需的开支，这笔费用可被用于其他更有价值的事情。",C,A
88,"琪琪、军军和涵涵同属一个社区活动小组的核心成员，目前他们正在合力筹备一项新的社区服务项目，旨在提升社区凝聚力。作为小组中的新人，涵涵对社区服务的具体流程和细节尚不熟悉。有一天，军军偶然注意到琪琪手中握着一份详细的项目计划书，这正是他们团队近期讨论的核心内容。琪琪先是朝军军挑了挑眉，并轻轻晃动手中文件，随即扭头望向涵涵，眼神中流露出一种微妙的暗示意味。接着，琪琪快速瞥了一眼军军，继而面带微笑地将文件递给了涵涵。涵涵欣喜地接过计划书，满怀期待地开始阅读。



当涵涵收到这份文件并浏览其内容时，他的内心体验是怎样的？



A. 涵涵感到厌烦，由于他又被分配了额外的职责任务。 

B. 涵涵感到愉悦，他自信地认为自己掌握了方案的核心内容。 

C. 涵涵深受鼓舞，他与团队成员相处得非常融洽和谐。 

D. 涵涵感到不解，他不明白琪琪和军军的真实意图。 

E. 激动兴奋。 

F. 恐慌紧张。 

G. 自豪骄傲。 

H. 失望沮丧。",C,B
189,"在一个阳光明媚的星期六下午，小美兴高采烈地前往她张阿姨家玩耍。她留着一头短发，身穿一条浅蓝色的连衣裙，正专心致志地在张阿姨家客厅观看电视节目。就在这时，清脆的门铃声突然响起，张阿姨连忙起身开门，原来是她的邻居李阿姨专程前来拜访。李阿姨喜笑颜开，热情洋溢地说：“张阿姨，好久不见啦！”张阿姨也笑容满面，亲切回应：“李阿姨，快请进，见到你真让我开心万分。”李阿姨步入客厅后，目光落在端坐沙发上的小美身上，便满面春风地对她说：“哇，小美，你的头发又长又漂亮呢！”小美腼腆地微笑着，轻声回应：“谢谢阿姨的夸奖。”这时，张阿姨热情洋溢地招呼道：“来喝点茶吧，今天天气晴朗又宜人。”



如果有的话，哪句话不合适呢？



A.张阿姨，我好久没见到您了

B.哇，小美，你的头发又长又漂亮呢！

C.来喝点茶吧，今天天气晴朗又宜人。

D.没有不合适的句子。

E.赵阳这么做是因为他真的是个不懂中文的外国游客，在寻求帮助。

F.赵阳这么做是因为他手头有个任务，需要测试超市员工和顾客的反应。

G.赵阳这么做是因为他在进行一项社会实验，观察语言障碍在交流中的影响。

H.赵阳这么做是为了娱乐，给周围的人带来一些乐趣。",B,B
205,"小刚和小芬是同班同学，而小云与他们的关系较为平淡。某天放学后，在教室后排的角落里，小刚压低声音和小芬秘密交谈。不远处的小云将这一切看在眼中，虽然听不清具体内容，但她清楚地看到小刚面带微笑，谨慎地展示出一张对折的电影票，随即还朝小芬俏皮地眨了眨眼。就在这时，小刚意外察觉到小云的视线，警觉地提醒了小芬。小芬立刻把那电影票收好，两人一同转头朝小云打招呼。整个过程都被小云捕捉到了。



你认为此刻的小云会是何种心情？



A. 小云或许觉得小刚和小芬讨论的是他们自己的私事，因此表现得不太在意。

B. 小云可能会感到失落，因为小刚和小芬共享电影邀约却唯独没有邀请她。

C. 小云或许会暗自欣喜，揣测小刚的微笑是否是对她有所好感的暗示。

D. 小云可能会感到气恼，认为小刚只把电影票给了小芬却忽略了自己。

E. 小云感到困惑，因为她不明白二人为何要特意回避她的目光。

F. 小云感到无语，因为她很不理解对方的行为。

G. 知道。

H. 不知道。",B,E
244,"张宇首次参加了一场热闹非凡的户外夜间音乐会。在乐队震撼登台的瞬间，绚烂的灯光相互交织、闪烁不定，激情澎湃的音乐骤然奏响，他瞬间被一股强烈的兴奋感所包围，全身心随着音乐的强劲节奏忘我摇摆起来。然而，在这个理应令人心潮澎湃的环境中，张宇本该兴奋十足，却显得异常疲惫。这究竟是为什么呢？ 



张宇在音乐会上本应感到兴奋，但他为什么看起来很疲惫呢？ 

 

A. 张宇前一天身体过度劳累，加上舒缓的音乐旋律很快引发疲惫感，让他渴望稍事休息。 

B. 音乐会的音响系统音量过大，令张宇极度不适，进而导致他疲惫不堪。 

C. 张宇对乐队的表演质量深感失望，这份负面情绪将最初的兴奋转化为深深的疲倦。 

D. 张宇在音乐会上未能寻得期待的朋友，孤独感油然而生，这种心境使他心力交瘁，倍感疲惫。 

E. 尽管张宇前一天未过分劳累，柔和的音乐仍然让他迅速疲倦，但他并无休息的想法。 

F. 音乐会过高的音量不仅让张宇感到身体不适，还激起他心中的恼怒感。 

G. 张宇对乐队的出色表演感到十分满意，这反而让他情绪高涨，更加兴奋不已。 

H. 张宇虽然为在音乐会上成功找到朋友而高兴，却莫名其妙陷入沮丧情绪，整个人显得低落疲惫。",B,B
281,"周一早上九点整，在一所小学三年级的教室中，王老师环顾全体学生后，语气沉痛地说：“同学们，今天我要告诉你们一个悲痛的消息，我们班男生小明因病住院了，他的情况相当危急。” 教室里顿时一片寂静，孩子们全都默默低下脑袋，脸上写满担忧和难过。过了一小会儿，教室门外匆匆冲进一位叫小红的女孩，她气喘吁吁地对王老师道歉道：“王老师，实在抱歉，我来晚了。” 老师轻轻点头表示回应，温和地指示：“你赶紧回座位去吧。” 话音刚落，小红便悄无声息地落座，拿出作业本开始专注地书写。



如果存在的话，哪句话不合适呢？



A. 同学们，今天我要告诉你们一个悲痛的消息，我们班男生小明因病住院了，他的情况相当危急

B. 王老师，实在抱歉，我来晚了

C. 你赶紧回座位去吧

D. 没有不合适的句子

E. 小悦显得不以为意，她觉得萱萱只是路过而已

F. 小悦心头有些紧张不安，同时又满怀期待即将到来的约会

G. 小悦推测萱萱或许仍然对小阳抱有情意，因此她略显烦恼

H. 小悦感到十分困惑，她不清楚小阳和萱萱之间发生了什么",D,E
287,"王琳与赵宇在大学校园里相识相恋，至今已维系了两年亲密无间的恋爱关系。两人都出生于优渥殷实的家庭，正迈向婚姻缔结的关键阶段，然而王琳心底仍徘徊着对赵宇是否就是此生唯一“灵魂伴侣”的深深困惑。就在王琳的诞辰来临之时，赵宇细致征询了她所有闺蜜知己的建议，秘密筹办了一场充满惊喜元素的生日庆祝会，并盛情邀请每一位挚友共同参与欢聚。



王琳可能会有什么样的情绪呢？



A.开心。

B.担忧。

C.恐惧。

D.愤怒。

E.孙丽不妨亲身为小辉现场示范家务操作流程，引导他近距离观察母亲的娴熟动作，并积极鼓励他投入其中体验。

F.孙丽可以分享一些同龄孩童热心参与家务的趣味故事，旨在潜移默化激发小辉的模仿意愿和兴趣。

G.孙丽能够许下承诺，每当小辉圆满完成指定家务任务后，她便给予诸如他心仪零食或额外自由玩耍时光的切实奖励。

H.孙丽尝试与小辉共同开启“家务趣味游戏”，意在让小辉感受到家务活动也蕴含娱乐性，而非枯燥乏味的负担。",A,A
