Unnamed: 0,mid,standard_question,standard_answer,type,is_order,prompt
0,7150531,"王强热衷邮票收藏，他收藏的邮票类型只有“首日封”、“错版票”、“纪念票”、“特种票”、“编年票”、“个性化票”，它们之间存在如下关系：
（1）若为“个性化票”或“首日封”，则为“特种票”；
（2）若为“特种票”或“错版票”，则为“编年票”；
（3）若不为“特种票”，则不为“个性化票”或不为“首日封”​​。
现已知王强收藏的一枚邮票不是“编年票”，可以确定的是该邮票属于以上哪种类型的藏品？",纪念票,QA,否,"You are a logician. Please answer the question strictly according to the following formatting rules:
1. Place your entire answer inside \boxed{}.
2. The answer should be direct and concise, without any prefixes, suffixes, explanations, or introductory phrases.
3. If the answer contains multiple elements, separate them with a space.
4. Do not output any text, introductions, or explanations outside of the \boxed{}.
Question:
王强热衷邮票收藏，他收藏的邮票类型只有“首日封”、“错版票”、“纪念票”、“特种票”、“编年票”、“个性化票”，它们之间存在如下关系：
（1）若为“个性化票”或“首日封”，则为“特种票”；
（2）若为“特种票”或“错版票”，则为“编年票”；
（3）若不为“特种票”，则不为“个性化票”或不为“首日封”​​。
现已知王强收藏的一枚邮票不是“编年票”，可以确定的是该邮票属于以上哪种类型的藏品？
"
1,7150529,"陈默热衷古籍收藏，他收藏的古籍类别只有“善本”、“孤本”、“珍本”、“校本”、“抄本”、“刻本”，它们之间存在如下关系：
（1）若为“刻本”或“善本”，则为“珍本”；
（2）若为“珍本”或“孤本”，则为“校本”；

（3）若不为“珍本”，则不为“刻本”且不为“善本”​​。

现已知陈默收藏的一本古籍不是“校本”，可以确定的是该古籍属于以上哪种类型的藏品？",抄本,QA,否,"You are a logician. Please answer the question strictly according to the following formatting rules:
1. Place your entire answer inside \boxed{}.
2. The answer should be direct and concise, without any prefixes, suffixes, explanations, or introductory phrases.
3. If the answer contains multiple elements, separate them with a space.
4. Do not output any text, introductions, or explanations outside of the \boxed{}.
Question:
陈默热衷古籍收藏，他收藏的古籍类别只有“善本”、“孤本”、“珍本”、“校本”、“抄本”、“刻本”，它们之间存在如下关系：
（1）若为“刻本”或“善本”，则为“珍本”；
（2）若为“珍本”或“孤本”，则为“校本”；

（3）若不为“珍本”，则不为“刻本”且不为“善本”​​。

现已知陈默收藏的一本古籍不是“校本”，可以确定的是该古籍属于以上哪种类型的藏品？
"
2,7150506,"某学生计划从七门课程：高等数学、大学物理、线性代数、概率论、编程基础、英语写作、美术鉴赏中选择 4 门课程，需满足以下条件：
（1）编程基础和概率论至少选一门；
（2）如果不选高等数学，或者不选大学物理，就不选编程基础；
（3）若选高等数学，就不选线性代数；
（4）不选英语写作，就不能选概率论；
（5）由于时间冲突，没办法选英语写作。
根据上述条件，最终学生选择的课程是？",高等数学 编程基础 大学物理 美术鉴赏,QA,否,"You are a logician. Please answer the question strictly according to the following formatting rules:
1. Place your entire answer inside \boxed{}.
2. The answer should be direct and concise, without any prefixes, suffixes, explanations, or introductory phrases.
3. If the answer contains multiple elements, separate them with a space.
4. Do not output any text, introductions, or explanations outside of the \boxed{}.
Question:
某学生计划从七门课程：高等数学、大学物理、线性代数、概率论、编程基础、英语写作、美术鉴赏中选择 4 门课程，需满足以下条件：
（1）编程基础和概率论至少选一门；
（2）如果不选高等数学，或者不选大学物理，就不选编程基础；
（3）若选高等数学，就不选线性代数；
（4）不选英语写作，就不能选概率论；
（5）由于时间冲突，没办法选英语写作。
根据上述条件，最终学生选择的课程是？
"
3,7150507,"某旅客计划从七件物品：充电宝、雨伞、保温杯、防晒霜、墨镜、笔记本、外套中选择 4 件装入行李箱，需满足以下条件：
（1）防晒霜和墨镜至少带一件；
（2）如果不带充电宝，或者不带雨伞，就不带防晒霜；
（3）若带充电宝，就不带笔记本；
（4）只有先带保温杯，才能带墨镜；
（5）由于行李重量限制，没办法带保温杯。
则可以推出：
A、选择了充电宝、雨伞、防晒霜、墨镜
B、选择了充电宝、雨伞、防晒霜、笔记本
C、选择了充电宝、雨伞、防晒霜、外套
D、选择了充电宝、雨伞、墨镜、笔记本
E、选择了充电宝、雨伞、墨镜、外套
F、选择了充电宝、防晒霜、墨镜、笔记本
G、选择了充电宝、防晒霜、墨镜、外套
H、选择了充电宝、防晒霜、笔记本、外套
I、选择了充电宝、墨镜、笔记本、外套
J、选择了雨伞、防晒霜、墨镜、笔记本
K、选择了雨伞、防晒霜、墨镜、外套
L、选择了雨伞、防晒霜、笔记本、外套
M、选择了雨伞、墨镜、笔记本、外套
N、选择了防晒霜、墨镜、笔记本、外套
O、选择了充电宝、雨伞、保温杯、防晒霜
P、选择了雨伞、防晒霜、墨镜、保温杯
Q、选择了充电宝、墨镜、保温杯、外套
R、选择了充电宝、雨伞、墨镜、保温杯
S、选择了充电宝、防晒霜、保温杯、笔记本",C,MCQ,否,"You are a logician. Please answer the question strictly according to the following formatting rules:
1. Place your entire answer inside \boxed{}.
2. The answer should be direct and concise, without any prefixes, suffixes, explanations, or introductory phrases.
3. If the answer contains multiple elements, separate them with a space.
4. Do not output any text, introductions, or explanations outside of the \boxed{}.
Question:
某旅客计划从七件物品：充电宝、雨伞、保温杯、防晒霜、墨镜、笔记本、外套中选择 4 件装入行李箱，需满足以下条件：
（1）防晒霜和墨镜至少带一件；
（2）如果不带充电宝，或者不带雨伞，就不带防晒霜；
（3）若带充电宝，就不带笔记本；
（4）只有先带保温杯，才能带墨镜；
（5）由于行李重量限制，没办法带保温杯。
则可以推出：
A、选择了充电宝、雨伞、防晒霜、墨镜
B、选择了充电宝、雨伞、防晒霜、笔记本
C、选择了充电宝、雨伞、防晒霜、外套
D、选择了充电宝、雨伞、墨镜、笔记本
E、选择了充电宝、雨伞、墨镜、外套
F、选择了充电宝、防晒霜、墨镜、笔记本
G、选择了充电宝、防晒霜、墨镜、外套
H、选择了充电宝、防晒霜、笔记本、外套
I、选择了充电宝、墨镜、笔记本、外套
J、选择了雨伞、防晒霜、墨镜、笔记本
K、选择了雨伞、防晒霜、墨镜、外套
L、选择了雨伞、防晒霜、笔记本、外套
M、选择了雨伞、墨镜、笔记本、外套
N、选择了防晒霜、墨镜、笔记本、外套
O、选择了充电宝、雨伞、保温杯、防晒霜
P、选择了雨伞、防晒霜、墨镜、保温杯
Q、选择了充电宝、墨镜、保温杯、外套
R、选择了充电宝、雨伞、墨镜、保温杯
S、选择了充电宝、防晒霜、保温杯、笔记本
"
4,7150513,"甲、乙、丙三人从某政法大学毕业后，一个当上了律师，一个当上了法官，另一个当上了检察官。但究竟每个人担任什么工作，有如下三个猜测：
猜测一​​：甲的职业是律师或法官，且乙的职业是法官或检察官。
​​猜测二​​：乙当上了检察官，且丙当上了律师。
​​猜测三​​：甲当上了检察官，且乙当上了律师。
后来证实，上述三个猜测都只是对了一半（即每个猜测中，恰好一个部分正确，另一个部分错误）。
根据上述断定，甲、乙、丙三人的职业依次分别是？",检察官 法官 律师,QA,是,"You are a logician. Please answer the question strictly according to the following formatting rules:
1. Place your entire answer inside \boxed{}.
2. The answer should be direct and concise, without any prefixes, suffixes, explanations, or introductory phrases.
3. If the answer contains multiple elements, separate them with a space.
4. Do not output any text, introductions, or explanations outside of the \boxed{}.
Question:
甲、乙、丙三人从某政法大学毕业后，一个当上了律师，一个当上了法官，另一个当上了检察官。但究竟每个人担任什么工作，有如下三个猜测：
猜测一​​：甲的职业是律师或法官，且乙的职业是法官或检察官。
​​猜测二​​：乙当上了检察官，且丙当上了律师。
​​猜测三​​：甲当上了检察官，且乙当上了律师。
后来证实，上述三个猜测都只是对了一半（即每个猜测中，恰好一个部分正确，另一个部分错误）。
根据上述断定，甲、乙、丙三人的职业依次分别是？
"
5,7150514,"张三、李四和王五每人拥有一台不同的电子设备：智能手机、平板电脑或笔记本电脑。但究竟每个人拥有什么设备，有如下三个猜测：
猜测一​​：张三拥有智能手机，并且李四和王五拥有不同的设备。
​​猜测二​​：张三拥有平板电脑，并且李四不拥有笔记本电脑。
​​猜测三​​：张三拥有笔记本电脑，并且李四拥有智能手机。
后来证实，上述三个猜测都只是对了一半。
根据上述断定，张三拥有什么电子设备？",笔记本电脑,QA,否,"You are a logician. Please answer the question strictly according to the following formatting rules:
1. Place your entire answer inside \boxed{}.
2. The answer should be direct and concise, without any prefixes, suffixes, explanations, or introductory phrases.
3. If the answer contains multiple elements, separate them with a space.
4. Do not output any text, introductions, or explanations outside of the \boxed{}.
Question:
张三、李四和王五每人拥有一台不同的电子设备：智能手机、平板电脑或笔记本电脑。但究竟每个人拥有什么设备，有如下三个猜测：
猜测一​​：张三拥有智能手机，并且李四和王五拥有不同的设备。
​​猜测二​​：张三拥有平板电脑，并且李四不拥有笔记本电脑。
​​猜测三​​：张三拥有笔记本电脑，并且李四拥有智能手机。
后来证实，上述三个猜测都只是对了一半。
根据上述断定，张三拥有什么电子设备？
"
6,7150516,"小明、小红和小刚在校园跑步比赛中，每人获得一个不同的名次：第一名、第二名或第三名。但究竟每个人获得什么名次，有如下三个猜测：
猜测一：小明获得第一名，小红获得第二名。
猜测二：小明获得第二名，小刚获得第一名。
猜测三：小明获得第三名，小红获得第一名。
后来证实，上述三个猜测都只是对了一半。
同时满足以下条件：
如果小红不是第二名，则小明是第一名​​
​​如果小刚不是第一名，则小明是第二名​​
​​如果小红不是第一名，则小明是第三名​​
根据上述断定，第一名、第二名、第三名分别是？",小刚 小红 小明,QA,是,"You are a logician. Please answer the question strictly according to the following formatting rules:
1. Place your entire answer inside \boxed{}.
2. The answer should be direct and concise, without any prefixes, suffixes, explanations, or introductory phrases.
3. If the answer contains multiple elements, separate them with a space.
4. Do not output any text, introductions, or explanations outside of the \boxed{}.
Question:
小明、小红和小刚在校园跑步比赛中，每人获得一个不同的名次：第一名、第二名或第三名。但究竟每个人获得什么名次，有如下三个猜测：
猜测一：小明获得第一名，小红获得第二名。
猜测二：小明获得第二名，小刚获得第一名。
猜测三：小明获得第三名，小红获得第一名。
后来证实，上述三个猜测都只是对了一半。
同时满足以下条件：
如果小红不是第二名，则小明是第一名​​
​​如果小刚不是第一名，则小明是第二名​​
​​如果小红不是第一名，则小明是第三名​​
根据上述断定，第一名、第二名、第三名分别是？
"
7,7150518,"陈华、刘洋和赵敏每人居住在一个不同的城市：北京、上海或广州。但究竟每个人居住什么城市，有如下三个猜测：
陈华居住在北京，且刘洋居住在上海；
陈华居住在上海，且赵敏居住在北京；
陈华居住在广州，且刘洋居住在北京。
后来证实，上述三个猜测都只是对了一半。同时满足以下条件：
若陈华不在北京，则刘洋在广州的可能性被排除；
若赵敏在上海，则陈华和刘洋的居住城市存在互斥关系；
广州的居住者不能同时满足""陈华不在北京且刘洋不在上海""的特征。
根据上述断定，陈华、刘洋和赵敏各依次居住什么城市？",广州 上海 北京,QA,是,"You are a logician. Please answer the question strictly according to the following formatting rules:
1. Place your entire answer inside \boxed{}.
2. The answer should be direct and concise, without any prefixes, suffixes, explanations, or introductory phrases.
3. If the answer contains multiple elements, separate them with a space.
4. Do not output any text, introductions, or explanations outside of the \boxed{}.
Question:
陈华、刘洋和赵敏每人居住在一个不同的城市：北京、上海或广州。但究竟每个人居住什么城市，有如下三个猜测：
陈华居住在北京，且刘洋居住在上海；
陈华居住在上海，且赵敏居住在北京；
陈华居住在广州，且刘洋居住在北京。
后来证实，上述三个猜测都只是对了一半。同时满足以下条件：
若陈华不在北京，则刘洋在广州的可能性被排除；
若赵敏在上海，则陈华和刘洋的居住城市存在互斥关系；
广州的居住者不能同时满足""陈华不在北京且刘洋不在上海""的特征。
根据上述断定，陈华、刘洋和赵敏各依次居住什么城市？
"
8,7150526,"五家相邻的商铺（自东向西依次为1-5号）分别被鸿福超市、香茗茶庄、金剪发廊、妙手药房、如意花店入驻，每家占据一个店面且不重复。已知：
1、若妙手药房在2号或3号铺面当且仅当金剪发廊在1号铺面​
​​2、若香茗茶庄在2号或5号铺面，则鸿福超市必须在1号铺面，否则香茗茶庄既不在2号也不在5号，鸿福超市与香茗茶庄铺面相邻​
3、若香茗茶庄不在4号铺面，则如意花店占据1号铺面且妙手药房在3号铺面
​​4、若如意花店在1号铺面，则妙手药房在5号铺面​​
已知金剪发廊位于鸿福超市的西侧（即金剪发廊铺面编号大于鸿福超市），问五家商铺的具体分布如何？",金剪发廊 香茗茶庄 鸿福超市 如意花店 妙手药房,QA,是,"You are a logician. Please answer the question strictly according to the following formatting rules:
1. Place your entire answer inside \boxed{}.
2. The answer should be direct and concise, without any prefixes, suffixes, explanations, or introductory phrases.
3. If the answer contains multiple elements, separate them with a space.
4. Do not output any text, introductions, or explanations outside of the \boxed{}.
Question:
五家相邻的商铺（自东向西依次为1-5号）分别被鸿福超市、香茗茶庄、金剪发廊、妙手药房、如意花店入驻，每家占据一个店面且不重复。已知：
1、若妙手药房在2号或3号铺面当且仅当金剪发廊在1号铺面​
​​2、若香茗茶庄在2号或5号铺面，则鸿福超市必须在1号铺面，否则香茗茶庄既不在2号也不在5号，鸿福超市与香茗茶庄铺面相邻​
3、若香茗茶庄不在4号铺面，则如意花店占据1号铺面且妙手药房在3号铺面
​​4、若如意花店在1号铺面，则妙手药房在5号铺面​​
已知金剪发廊位于鸿福超市的西侧（即金剪发廊铺面编号大于鸿福超市），问五家商铺的具体分布如何？
"
9,7150524,"动物园的4只动物团团、赫赫、淘淘、朵朵住在方形围栏的四个角落（每边各住一只，面朝中心）。4种动物的食物偏好各不相同，分别是鸡肉、竹子、香蕉、胡萝卜。已知：
1、团团喜欢吃竹子，它住在赫赫的左手边，且赫赫住在团团的右手边。
2、淘淘住在鸡肉爱好者的右手边，且鸡肉爱好者的位置与竹子爱好者的摊位相邻。
3、住在赫赫对面的朵朵不喜欢吃香蕉，且如果任何动物在赫赫对面，则它必须不喜欢吃香蕉。
4、淘淘和团团的位置相对。
5、淘淘和朵朵的摊位相邻。
6、胡萝卜爱好者不住在香蕉爱好者的左手边。
7、香蕉爱好者的偏好不是竹子，且赫赫的偏好不是胡萝。
根据以上信息，可以推出喜欢吃鸡肉、竹子、香蕉、胡萝卜的四只动物分别叫什么？",赫赫 团团 淘淘 朵朵,QA,是,"You are a logician. Please answer the question strictly according to the following formatting rules:
1. Place your entire answer inside \boxed{}.
2. The answer should be direct and concise, without any prefixes, suffixes, explanations, or introductory phrases.
3. If the answer contains multiple elements, separate them with a space.
4. Do not output any text, introductions, or explanations outside of the \boxed{}.
Question:
动物园的4只动物团团、赫赫、淘淘、朵朵住在方形围栏的四个角落（每边各住一只，面朝中心）。4种动物的食物偏好各不相同，分别是鸡肉、竹子、香蕉、胡萝卜。已知：
1、团团喜欢吃竹子，它住在赫赫的左手边，且赫赫住在团团的右手边。
2、淘淘住在鸡肉爱好者的右手边，且鸡肉爱好者的位置与竹子爱好者的摊位相邻。
3、住在赫赫对面的朵朵不喜欢吃香蕉，且如果任何动物在赫赫对面，则它必须不喜欢吃香蕉。
4、淘淘和团团的位置相对。
5、淘淘和朵朵的摊位相邻。
6、胡萝卜爱好者不住在香蕉爱好者的左手边。
7、香蕉爱好者的偏好不是竹子，且赫赫的偏好不是胡萝。
根据以上信息，可以推出喜欢吃鸡肉、竹子、香蕉、胡萝卜的四只动物分别叫什么？
"
